KIC,numax,enumax,Dnu,eDnu,Length,HBR,Teff_SDSS,eTeff_SDSS,[M/H]_SDSS,e[M/H]_SDSS,Radius_SDSS,+eRad_SDSS,-eRad_SDSS,syRad_SDSS,Mass_SDSS,+eMas_SDSS,-eMas_SDSS,syMas_SDSS,logg_SDSS,+elogg_SDSS,-elogg_SDSS,sylogg_SDSS,rho_SDSS,+erho_SDSS,-erho_SDSS,syrho_SDSS,Age_SDSS,+eAge_SDSS,-eAge_SDSS,syAge_SDSS,Teff_ASPC,eTeff_ASPC,[M/H]_ASPC,e[M/H]_ASPC,Radius_ASPC,+eRad_ASPC,-eRad_ASPC,syRad_ASPC,Mass_ASPC,+eMas_ASPC,-eMas_ASPC,syMas_ASPC,logg_ASPC,+elogg_ASPC,-elogg_ASPC,sylogg_ASPC,rho_ASPC,+erho_ASPC,-erho_ASPC,syrho_ASPC,Age_ASPC,+eAge_ASPC,-eAge_ASPC,syAge_ASPC,Gaia,Teff,e_Teff,D,+e_D,-e_D,R,+e_R,-e_R,AV,Evol,Bin,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,source_id_2,original_ext_source_id,angular_distance,gaia_astrometric_params,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,kic,gaia,tmass_source_id,RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
1435467,1382.3110000000001,19.038,70.558,0.087,938.1,1.662,6433.0,86.0,-0.027999999999999997,0.099,1.693,0.015,-0.016,0.01,1.344,0.039,-0.036000000000000004,0.022000000000000002,4.109,0.006,-0.006,0.002,0.2777,0.002376,-0.002391,0.001505,2.605,0.302,-0.293,0.215,6096.7,69.27600000000001,-0.027999999999999997,0.099,1.676,0.012,-0.011000000000000001,0.013000000000000001,1.2770000000000001,0.03,-0.026000000000000002,0.031,4.095,0.005,-0.005,0.004,0.2711,0.0011380000000000001,-0.001015,0.001526,3.7460000000000004,0.349,-0.324,0.496,2051714265379610624,6326,127,136.664,0.56,0.557,1.695,0.071,0.067,0.023,1,0,1635721458409799680,b'Gaia DR2 2051714265379610624',2051714265379610624,1642703359,2015.5,292.0826387546914,0.02243885528158524,37.05987401545169,0.026381359015447716,7.287584408721481,0.03017258342924623,241.53001,-10.584794872522545,0.04830028101741321,9.76150077040077,0.05412520351325335,-0.09491553,0.042090967,0.13488683,-0.12117298,0.30186254,-0.1689396,0.026262913,-0.21819182,-0.122593895,-0.13980903,231,231,225,6,12.637386,604.4985,0.0,0.0,31,False,195.24036,1.6382342745716714,0.0069368784981203606,-0.040706553,26,15,0.0392073,0,29,False,240,5800949.037256264,1627.0345389850163,3565.3508,8.779618,25,3321076.496112895,3977.4340048326826,834.9797,9.048191,27,3523851.8063508053,4682.647067684445,752.5341,8.394376,1.1799669,0,0.65381527,0.2685728,0.38524246,-66.20312534386267,1.5013994488878213,4,6500.0,4.0,0.0,b'NOT_AVAILABLE',69.98322933149771,9.2628980413109,304.3646546769459,57.89361175157849,100001,6334.4,6125.75,6504.6,1.0815,0.8242,1.308,0.5582,0.4452,0.6482,200111,1.7080225,1.6198072,1.8263583,4.2315917,4.203539,4.2596445,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2051714265379610624',,2051714265379610624,b'19281984+3703353',0.06884637223583981,5,398446904,1,0,1,1435467,2051714265379610624,2MASS J19281984+3703353,292.08269,37.059811,b'19281984+3703353',7.983,0.024,7.753,0.023,7.718,0.017,b'AAA',b'111',b'111',b'000',0,0
2010607,674.919,146.523,42.479,2.185,28.9,1.547,6361.0,71.0,-0.07,0.1,2.41,0.1,-0.09,0.035,1.402,0.067,-0.051,0.047,3.819,0.027000000000000003,-0.027000000000000003,0.003,0.09973,0.009867,-0.009399,0.001393,2.755,0.29600000000000004,-0.301,0.184,6013.5,69.27600000000001,-0.07,0.1,2.39,0.10400000000000001,-0.095,0.027999999999999997,1.325,0.057999999999999996,-0.05,0.043,3.802,0.026000000000000002,-0.027000000000000003,0.006,0.09667,0.009696,-0.009474,0.0015119999999999999,3.5439999999999996,0.396,-0.39,0.33299999999999996,2051083248784888576,6227,125,622.215,10.28,9.978,2.5669999999999997,0.11599999999999999,0.11,0.24,1,0,1635721458409799680,b'Gaia DR2 2051083248784888576',2051083248784888576,951146959,2015.5,290.5055913754173,0.020091417034465438,37.458935160178555,0.026062166131648936,1.5785922761495108,0.026386132806215327,59.826588,-6.407060118896297,0.04579728398530962,-17.879153247836413,0.05209792855623073,0.004819321,0.10284637,0.06040495,-0.20674834,0.26202673,-0.17365198,-0.31300986,-0.12222481,-0.23002079,-0.17794539,213,213,205,8,9.170777,444.06198,0.0,3.9556709943964335e-15,31,True,454.8049,1.6367969491945282,0.006122882439840888,0.013043721,24,15,0.04039924,0,27,False,201,556154.9176606791,271.848107703863,2045.8296,11.3253765,23,315365.8084585628,332.31926045034095,948.98444,11.604352,21,348163.3202783499,192.08433275478347,1812.5544,10.907462,1.1930653,0,0.6968899,0.2789755,0.4179144,26.484420644608385,3.9645735726204467,8,6750.0,4.0,0.0,b'NOT_AVAILABLE',69.77361116994862,10.563677674561692,302.2786252463511,58.621960269616025,100001,6667.0547,6052.0,7105.455,,,,,,,200111,2.202229,1.9388611,2.672592,8.63288,8.390896,8.874865,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2051083248784888576',,2051083248784888576,b'19220135+3727324',0.050010210643779425,5,399448188,1,0,1,2010607,2051083248784888576,2MASS J19220135+3727324,290.505646,37.459015,b'19220135+3727324',10.427,0.02,10.204,0.021,10.155,0.019,b'AAA',b'222',b'111',b'000',0,0
2309595,643.2080000000002,11.225999999999999,39.029,0.721,28.9,1.767,5238.0,65.0,-0.095,0.10099999999999999,2.423,0.076,-0.073,0.022000000000000002,1.167,0.084,-0.077,0.023,3.736,0.008,-0.008,0.002,0.08183,0.002543,-0.002494,0.0007097000000000001,5.46,1.351,-1.023,0.42200000000000004,5000.2,69.27600000000001,-0.095,0.10099999999999999,2.3,0.08,-0.073,0.063,1.022,0.08199999999999999,-0.073,0.07,3.7230000000000003,0.008,-0.008,0.006999999999999999,0.0839,0.002592,-0.002614,0.001254,9.537,2.667,-2.1959999999999997,2.517,2051847684243759104,5152,103,388.066,4.202,4.124,2.397,0.10400000000000001,0.098,0.13,1,0,1635721458409799680,b'Gaia DR2 2051847684243759104',2051847684243759104,789196893,2015.5,292.9014487360415,0.019937124060284354,37.62450961132608,0.027365903983275156,2.547899676366185,0.027855535546288744,91.468346,-5.670181399050339,0.04289287984243023,5.790695273584303,0.053044230778849934,-0.02545148,0.16621141,-0.14587611,-0.16813767,0.32826695,-0.14274336,-0.3085687,-0.055297866,-0.27567986,-0.22684504,210,210,205,5,3.3236065,273.2866,0.0,0.0,31,True,404.6042,1.5452008962100654,0.006192717422781945,-0.08654982,24,13,0.040487256,0,27,False,223,518786.05314976524,176.98738774248076,2931.2036,11.400895,26,245500.62613092066,270.12352075353755,908.8458,11.876257,25,387857.61803192156,259.2785928206063,1495.9106,10.790239,1.2208467,0,1.0860176,0.47536182,0.6106558,-8.975526957293283,0.23241050389742224,3,5250.0,3.5,-0.25,b'NOT_AVAILABLE',70.7937408572238,8.943386074900967,305.85069175220616,58.24705757608744,100001,5035.53,4964.7646,5101.3096,,,,,,,200111,2.4436038,2.380991,2.5137599,3.4588916,3.3966858,3.5210974,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2051847684243759104',,2051847684243759104,b'19313636+3737281',0.06936916450424258,5,399860133,1,0,1,2309595,2051847684243759104,2MASS J19313636+3737281,292.901507,37.624481,b'19313636+3737281',10.04,0.022,9.604,0.02,9.5,0.018,b'AAA',b'222',b'111',b'000',0,0
2450729,1053.105,114.904,61.91,2.539,28.9,1.47,6029.0,59.0,-0.212,0.1,1.758,0.059000000000000004,-0.055999999999999994,0.023,1.112,0.051,-0.051,0.03,3.9939999999999998,0.02,-0.021,0.006,0.2043,0.01594,-0.014980000000000004,0.002889,6.034,0.804,-0.718,0.55,5840.4,69.27600000000001,-0.212,0.1,1.725,0.06,-0.055999999999999994,0.027999999999999997,1.047,0.052000000000000005,-0.051,0.042,3.984,0.02,-0.021,0.006999999999999999,0.2035,0.01564,-0.01573,0.002757,7.724,1.051,-0.953,1.2209999999999999,2051667914096024448,5868,117,272.828,2.175,2.147,1.735,0.07400000000000001,0.07,0.163,1,0,1635721458409799680,b'Gaia DR2 2051667914096024448',2051667914096024448,1066183801,2015.5,293.0736309167399,0.021554182561057733,37.71658174566087,0.026427068535633296,3.6360564447926915,0.02928642455797369,124.155014,12.934760459237909,0.04221328638981442,27.41100296867697,0.04479028105710502,0.19672091,0.2525139,-0.3079162,-0.1453502,0.46437857,-0.23636177,-0.2716301,-0.2740461,-0.09485154,0.095783316,224,224,210,14,7.225908,387.8624,0.0,0.0,31,True,349.0813,1.5970504267357413,0.007772540034567329,0.09233993,26,14,0.034735434,0,29,False,224,1059998.6374299568,259.63684011378683,4082.6204,10.625102,25,576421.3909475636,433.7218204165632,1329.0117,10.949538,27,691085.5722623245,470.0850383826116,1470.1288,10.163091,1.1957629,1,0.7864475,0.3244362,0.46201134,,,0,,,,b'NOT_AVAILABLE',70.94013987305645,8.865074608384665,306.149994093028,58.29476350429335,100002,5840.4927,5716.0,6028.25,,,,,,,200111,1.7347597,1.6283801,1.8111477,3.1547961,3.1137204,3.1958718,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2051667914096024448',,2051667914096024448,b'19321765+3742592',0.04351016463210836,5,400087950,1,0,1,2450729,2051667914096024448,2MASS J19321765+3742592,293.073563,37.716461,b'19321765+3742592',9.585,0.02,9.333,0.019,9.283,0.018,b'AAA',b'222',b'111',b'000',0,0
2837475,1629.761,18.396,75.72,0.129,1029.4,1.767,6688.0,57.0,-0.015,0.1,1.71,0.022000000000000002,-0.043,0.039,1.665,0.054000000000000006,-0.133,0.091,4.1930000000000005,0.008,-0.011000000000000001,0.006,0.3319,0.0025629999999999997,-0.0028350000000000003,0.006215999999999999,1.131,0.19699999999999998,-0.18100000000000002,0.221,6335.4,69.27600000000001,-0.015,0.1,1.726,0.065,-0.013999999999999999,0.067,1.672,0.2,-0.040999999999999995,0.195,4.185,0.019,-0.006999999999999999,0.02,0.3245,0.002867,-0.002731,0.003638,1.804,0.313,-0.285,0.529,2099526837747055232,6614,132,120.809,0.42,0.418,1.646,0.071,0.067,0.042,0,0,1635721458409799680,b'Gaia DR2 2099526837747055232',2099526837747055232,1298060034,2015.5,287.5485738334631,0.02301949753079076,38.082133584002044,0.02746345392538961,8.247790541507515,0.02896614177700503,284.739,15.452962168719518,0.05047614008872828,-9.41774080663825,0.05233459598171565,-0.066212445,-0.14688258,-0.04412829,0.07202328,0.21504146,0.045064487,-0.20824957,-0.084013976,-0.09321241,-0.017232407,232,232,230,2,8.771024,465.9771,0.0,0.0,31,False,135.3087,1.6578192435197072,0.006855248233266259,-0.03836308,26,15,0.03777735,0,28,False,237,8243536.081158824,2153.552744971927,3827.8774,8.398082,25,4881430.473157344,3815.749098623268,1279.2849,8.63002,25,4816991.718182621,5312.191772311853,906.78046,8.05498,1.1764882,0,0.57503986,0.23193836,0.3431015,-13.817216208883723,0.40488168966186144,11,6750.0,4.0,0.0,b'NOT_AVAILABLE',69.32715059297958,12.942825122184548,298.1675685482082,59.817016989964785,100001,6700.0,6541.8735,6790.705,0.62,0.3319,0.9901,0.3363,0.166,0.5007,200111,1.6069455,1.5643035,1.6855687,4.6880927,4.661353,4.7148323,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2099526837747055232',,2099526837747055232,b'19101163+3804559',0.08251739495197583,5,400990322,1,0,1,2837475,2099526837747055232,2MASS J19101163+3804559,287.548468,38.082199,b'19101163+3804559',7.649,0.021,7.481,0.016,7.464,0.027,b'AAA',b'111',b'111',b'000',0,0
2849125,722.576,27.254,41.321999999999996,1.97,24.9,1.624,6158.0,56.0,0.293,0.10099999999999999,2.5340000000000003,0.115,-0.08900000000000001,0.027999999999999997,1.534,0.193,-0.071,0.038,3.82,0.015,-0.015,0.002,0.09451,0.005343,-0.005109000000000001,0.001265,2.583,0.29100000000000004,-0.8009999999999999,0.107,6074.4,69.27600000000001,0.293,0.10099999999999999,2.506,0.096,-0.069,0.039,1.4969999999999999,0.1,-0.054000000000000006,0.055999999999999994,3.815,0.015,-0.015,0.006,0.09494,0.005243,-0.005095000000000001,0.001103,2.793,0.249,-0.462,0.317,2052614421804974464,6068,121,601.089,9.109,8.865,2.637,0.11800000000000001,0.11199999999999999,0.17800000000000002,1,0,1635721458409799680,b'Gaia DR2 2052614421804974464',2052614421804974464,1275471001,2015.5,290.7306604068038,0.020083027382924615,38.08566498955752,0.0257489899957737,1.6348882360613963,0.025075703269819564,65.198105,-1.230187769676941,0.04132353085820041,-1.5467242965945354,0.04896452325065966,-0.027066015,0.057472147,-0.22388016,0.09430647,0.15196164,0.06137028,-0.44394112,-0.21537815,-0.012365364,-0.02577304,202,202,196,6,10.829584,489.22696,0.0,0.0,31,False,495.60403,1.6295195621443428,0.006429966244875135,-0.01570451,24,15,0.038438164,0,29,False,228,572104.1828517088,289.5488194414912,1975.847,11.294678,22,313773.0916341694,516.7360638532506,607.2212,11.609849,21,366994.2327587633,223.06378967526675,1645.2434,10.850272,1.1899359,0,0.7595768,0.31517124,0.44440556,-24.29197050359017,0.539775423359484,9,6500.0,4.0,-0.25,b'NOT_AVAILABLE',70.42565773448473,10.680818923222883,302.9391966541201,59.176958791446296,100001,5803.25,5733.0,5980.0,,,,,,,200111,2.8739338,2.7065556,2.9447975,8.439824,8.218687,8.660961,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052614421804974464',,2052614421804974464,b'19225536+3805084',0.020391481951937695,5,400998763,1,0,1,2849125,2052614421804974464,2MASS J19225536+3805084,290.730668,38.085678,b'19225536+3805084',10.327,0.021,10.088,0.02,10.037,0.018,b'AAA',b'222',b'111',b'000',0,0
2852862,983.5219999999999,16.419,53.556000000000004,0.149,523.7,1.411,6417.0,58.0,-0.155,0.1,2.0869999999999997,0.019,-0.021,0.026000000000000002,1.4580000000000002,0.032,-0.028999999999999998,0.052000000000000005,3.9619999999999997,0.005,-0.006999999999999999,0.004,0.1604,0.001431,-0.001359,0.0009176999999999999,2.261,0.262,-0.156,0.302,6008.1,69.27600000000001,-0.155,0.1,2.009,0.016,-0.02,0.04,1.254,0.032,-0.036000000000000004,0.07200000000000001,3.929,0.005,-0.005,0.008,0.1544,0.00107,-0.0009576000000000001,0.0009736,4.507,0.391,-0.33899999999999997,0.9990000000000001,2052579374867447936,6261,125,384.36400000000003,3.465,3.4139999999999997,2.115,0.09,0.086,0.11900000000000001,1,0,1635721458409799680,b'Gaia DR2 2052579374867447936',2052579374867447936,1632393764,2015.5,291.52574513998627,0.018618785398643548,38.043426783822525,0.021414921742614196,2.572352362643414,0.02353713730347501,109.28909,-17.763017154198202,0.03960109700878784,-15.529283749339768,0.04282989847674283,-0.009606234,0.056804936,-0.19683294,-0.0054719895,0.26002088,-0.029770045,-0.14607501,-0.10260195,-0.086007506,-0.049647547,230,230,229,1,8.772024,464.6071,0.0,0.0,31,False,306.26572,1.6503741828189413,0.0063170282902071705,-0.085267305,26,15,0.033166945,0,30,False,253,1047479.7579103274,286.9187807414448,3650.7883,10.638001,26,595468.2100828992,551.4928371806268,1079.7388,10.914242,28,649281.1973651281,296.94830620057286,2186.5125,10.230838,1.1883279,1,0.68340397,0.27624035,0.40716362,-25.588529201911996,0.7498998355439314,5,6000.0,3.5,0.0,b'NOT_AVAILABLE',70.67055405482694,10.101496574523736,304.08581499240637,58.9617796712718,100002,6363.0,6068.795,6848.98,0.734,0.2829,1.2533,0.4105,0.142,0.6751,200111,2.037413,1.7585354,2.2397418,6.130565,6.0324726,6.2286577,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052579374867447936',,2052579374867447936,b'19260620+3802366',0.023563026319011172,5,400894956,1,0,1,2852862,2052579374867447936,2MASS J19260620+3802366,291.525853,38.043507,b'19260620+3802366',9.772,0.021,9.54,0.016,9.511,0.018,b'AAA',b'222',b'111',b'000',0,0
2991448,1111.248,18.148,61.732,0.899,92.6,1.609,5836.0,70.0,-0.085,0.1,1.757,0.033,-0.034,0.024,1.113,0.047,-0.05,0.024,3.9939999999999998,0.006999999999999999,-0.006999999999999999,0.003,0.2051,0.004602,-0.004536999999999999,0.002813,6.8820000000000014,0.8959999999999999,-0.813,0.456,5576.0,69.27600000000001,-0.085,0.1,1.712,0.033,-0.034,0.028999999999999998,1.03,0.045,-0.046,0.049,3.983,0.006999999999999999,-0.006999999999999999,0.006,0.2051,0.004721,-0.004561,0.002617,9.407,1.111,-1.002,1.26,2052659879738450048,5635,113,280.397,2.329,2.298,1.86,0.08,0.076,0.075,1,0,1635721458409799680,b'Gaia DR2 2052659879738450048',2052659879738450048,1389513764,2015.5,291.8246955697834,0.020999576314814566,38.11311833000293,0.028409772349113883,3.5372019531703636,0.029688377756963986,119.14433,-42.806316292748555,0.04299883339457689,-17.330808539283936,0.05260138549065804,0.15863746,0.17847486,-0.12601599,-0.08329766,0.32636267,-0.18997253,-0.31863862,-0.31870386,0.019883206,0.120884776,215,215,209,6,12.65734,580.00507,0.0,1.9636233214824494e-15,31,True,283.58258,1.599563103543788,0.00730611834208895,0.13226567,25,15,0.038854446,0,29,False,226,978111.8382111021,190.7754177041089,5127.0327,10.712395,27,510835.3670732065,401.30442631967196,1272.9373,11.080686,26,663860.0435618532,669.7732532787351,991.1713,10.206729,1.2009827,0,0.8739567,0.3682909,0.5056658,6.759640419326599,1.0703689950959356,6,5750.0,4.0,-0.25,b'NOT_AVAILABLE',70.84126822289363,9.92268928757181,304.56180793792237,58.96152945533237,100001,5486.1,5370.3,5754.5,,,,,,,200111,1.9681721,1.7888558,2.053967,3.161373,3.1186845,3.2040613,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052659879738450048',,2052659879738450048,b'19271797+3806475',0.12087273586335907,5,401066106,1,0,1,2991448,2052659879738450048,2MASS J19271797+3806475,291.824891,38.113197,b'19271797+3806475',9.602,0.026,9.267,0.032,9.225,0.021,b'AAA',b'222',b'111',b'000',0,0
2998253,1884.7379999999998,226.07,87.227,5.653,31.0,1.0490000000000002,6333.0,54.0,0.057,0.1,1.425,0.062,-0.055999999999999994,0.017,1.262,0.040999999999999995,-0.045,0.043,4.23,0.028999999999999998,-0.03,0.005,0.4347,0.04684,-0.03082,0.002311,2.6239999999999997,0.451,-0.425,0.597,6235.8,69.27600000000001,0.057,0.1,1.416,0.062,-0.055999999999999994,0.021,1.234,0.046,-0.053,0.054000000000000006,4.225,0.028999999999999998,-0.03,0.006999999999999999,0.4318,0.03398,-0.055929999999999994,0.0041789999999999996,3.141,0.675,-0.532,0.9179999999999999,2052236773922878336,6298,126,253.59400000000002,1.568,1.5530000000000002,1.455,0.061,0.057999999999999996,0.051,0,0,1635721458409799680,b'Gaia DR2 2052236773922878336',2052236773922878336,1040967442,2015.5,293.2914602817116,0.01944299792198641,38.107248884604296,0.0238430862312037,3.9137746778668365,0.02447985393346845,159.87737,4.461753224657773,0.04118505019736415,-11.168286487091287,0.046757324440057695,0.07820582,0.021692649,0.06385819,-0.09416027,0.15938355,-0.13337204,-0.2569668,-0.1853652,0.026923155,0.09477368,223,223,220,3,8.129014,430.39868,0.0,0.0,31,False,260.2063,1.6398279127086368,0.005817137415650794,0.15771309,27,16,0.036430296,0,30,False,247,1159416.22434584,327.49906055958246,3540.2124,10.527767,29,658024.121038845,505.82416564559264,1300.895,10.805783,27,717217.9365828653,387.2934600723214,1851.8721,10.122792,1.1861504,0,0.682991,0.2780161,0.40497494,-32.360428344295485,0.7696743042922339,7,6500.0,4.0,-0.25,b'NOT_AVAILABLE',71.3711364012392,8.893769891147087,306.68695308280473,58.61607928573368,100001,6240.25,6072.5,6625.94,0.423,0.1489,0.622,0.191,0.0513,0.2627,200111,1.4661932,1.3004696,1.5483179,2.9368725,2.9052086,2.9685364,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052236773922878336',,2052236773922878336,b'19330994+3806262',0.022909535359760213,5,401051748,1,0,1,2998253,2052236773922878336,2MASS J19330994+3806262,293.291441,38.107304,b'19330994+3806262',9.655,0.02,9.435,0.02,9.396,0.018,b'AAA',b'222',b'111',b'000',0,0
3112152,1221.493,54.117,65.13,2.122,26.1,1.2309999999999999,6282.0,59.0,-0.136,0.1,1.7409999999999999,0.047,-0.046,0.031,1.251,0.084,-0.066,0.051,4.052,0.013999999999999999,-0.016,0.004,0.2361,0.01084,-0.01108,0.00228,3.778,0.715,-0.914,0.8590000000000001,5778.5,69.27600000000001,-0.136,0.1,1.6440000000000001,0.045,-0.043,0.025,1.041,0.054000000000000006,-0.05,0.039,4.024,0.013999999999999999,-0.013999999999999999,0.006,0.2341,0.0118,-0.0115,0.002913,8.392000000000001,1.1520000000000001,-1.074,1.325,2052817449196899968,6019,120,474.466,5.292000000000002,5.19,1.7409999999999999,0.076,0.07200000000000001,0.198,1,0,1635721458409799680,b'Gaia DR2 2052817449196899968',2052817449196899968,795289603,2015.5,290.34301932049607,0.018704941927663518,38.28689914492068,0.021895654564171,2.0784755349154276,0.02351465463724827,88.39065,9.752345916012617,0.04236883372120375,2.1697416662870266,0.04376004994270535,-0.034652025,0.01779767,-0.31570208,-0.023368519,0.3394014,-0.029279593,-0.33403516,0.029283842,-0.30887908,-0.19689223,239,239,232,7,3.6333728,312.7256,0.0,0.0,31,True,415.7729,1.622800345114868,0.005715061047507008,-0.072014906,27,15,0.036811028,0,29,False,236,407854.0562456709,71.88429755430278,5673.7573,11.662104,26,226544.0146730974,286.41109093541303,790.97504,11.963507,25,261969.34194934135,189.6040565637135,1381.6653,11.216294,1.1977651,0,0.7472124,0.30140305,0.44580936,-11.202217384071172,0.549184815693601,14,6500.0,4.0,-0.25,b'NOT_AVAILABLE',70.47324071554061,11.042959372496425,302.4727169804184,59.45383940808239,100001,5935.0,5888.75,6127.0,,,,,,,200111,1.818775,1.7065723,1.8474565,3.6977334,3.6245606,3.7709062,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052817449196899968',,2052817449196899968,b'19212230+3817128',0.08702325397075276,5,401493231,1,0,1,3112152,2052817449196899968,2MASS J19212230+3817128,290.342948,38.286911,b'19212230+3817128',10.766,0.019,10.503,0.022,10.442,0.018,b'AAA',b'222',b'111',b'000',0,0
