KIC,numax,enumax,Dnu,eDnu,Length,HBR,Teff_SDSS,eTeff_SDSS,[M/H]_SDSS,e[M/H]_SDSS,Radius_SDSS,+eRad_SDSS,-eRad_SDSS,syRad_SDSS,Mass_SDSS,+eMas_SDSS,-eMas_SDSS,syMas_SDSS,logg_SDSS,+elogg_SDSS,-elogg_SDSS,sylogg_SDSS,rho_SDSS,+erho_SDSS,-erho_SDSS,syrho_SDSS,Age_SDSS,+eAge_SDSS,-eAge_SDSS,syAge_SDSS,Teff_ASPC,eTeff_ASPC,[M/H]_ASPC,e[M/H]_ASPC,Radius_ASPC,+eRad_ASPC,-eRad_ASPC,syRad_ASPC,Mass_ASPC,+eMas_ASPC,-eMas_ASPC,syMas_ASPC,logg_ASPC,+elogg_ASPC,-elogg_ASPC,sylogg_ASPC,rho_ASPC,+erho_ASPC,-erho_ASPC,syrho_ASPC,Age_ASPC,+eAge_ASPC,-eAge_ASPC,syAge_ASPC,Gaia,Teff,e_Teff,D,+e_D,-e_D,R,+e_R,-e_R,AV,Evol,Bin,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,source_id_2,original_ext_source_id,angular_distance,gaia_astrometric_params,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,kic,gaia,tmass_source_id,RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg,seis_logg_SDSS,seis_logg_err_SDSS,seis_logg_ASPC,seis_logg_err_ASPC,eAV,bc_K_SDSS,bc_K_err_SDSS,bc_G_SDSS,bc_G_err_SDSS,e_D,AK,eAK,luminosity_K_SDSS,luminosity_err_K_SDSS
1435467,1382.311,19.038,70.558,0.087,938.1,1.662,6433.0,86.0,-0.028,0.099,1.693,0.015,-0.016,0.01,1.344,0.039,-0.036000000000000004,0.022,4.109,0.006,-0.006,0.002,0.2777,0.002376,-0.002391,0.001505,2.605,0.302,-0.293,0.215,6096.7,69.27600000000001,-0.028,0.099,1.676,0.012,-0.011,0.013,1.277,0.03,-0.026,0.031,4.095,0.005,-0.005,0.004,0.2711,0.001138,-0.001015,0.001526,3.746,0.349,-0.324,0.496,2051714265379610624,6326,127,136.664,0.56,0.557,1.695,0.071,0.067,0.023,1,0,1635721458409799680,b'Gaia DR2 2051714265379610624',2051714265379610624,1642703359,2015.5,292.0826387546914,0.022438855281585242,37.05987401545169,0.02638135901544772,7.287584408721481,0.03017258342924623,241.53001,-10.584794872522542,0.04830028101741321,9.76150077040077,0.05412520351325335,-0.09491553,0.042090967,0.13488683,-0.12117298,0.30186254,-0.1689396,0.026262913,-0.21819182,-0.122593895,-0.13980903,231,231,225,6,12.637386,604.4985,0.0,0.0,31,False,195.24036,1.6382342745716714,0.0069368784981203606,-0.040706553,26,15,0.0392073,0,29,False,240,5800949.037256264,1627.0345389850165,3565.3508,8.779618,25,3321076.496112895,3977.4340048326826,834.9797,9.048191000000001,27,3523851.806350805,4682.647067684446,752.5341,8.394376,1.1799669,0,0.65381527,0.2685728,0.38524246,-66.20312534386268,1.5013994488878213,4,6500.0,4.0,0.0,b'NOT_AVAILABLE',69.98322933149771,9.262898041310901,304.3646546769458,57.89361175157849,100001,6334.4,6125.75,6504.6,1.0815,0.8242,1.308,0.5582,0.4452,0.6482,200111,1.7080224999999998,1.6198072000000001,1.8263582999999999,4.2315917,4.203539,4.2596445,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2051714265379610624',,2051714265379610624,b'19281984+3703353',0.06884637223583981,5,398446904,1,0,1,1435467,2051714265379610624,2MASS J19281984+3703353,292.08269,37.059810999999996,b'19281984+3703353',7.983,0.024,7.752999999999999,0.023,7.718,0.017,b'AAA',b'111',b'111',b'000',0,0,4.111702876518821,0.007872902870102404,4.1000435134394815,0.007722929075252617,0.04,1.103012565033625,0.042746069062118516,0.054202834354216405,0.027562094256724026,0.5585,0.003703,0.00644,4.369023993498647,0.19029334094836556
2010607,674.919,146.523,42.479,2.185,28.9,1.547,6361.0,71.0,-0.07,0.1,2.41,0.1,-0.09,0.035,1.402,0.067,-0.051,0.047,3.819,0.027000000000000003,-0.027000000000000003,0.003,0.09973,0.009867,-0.009399,0.001393,2.755,0.29600000000000004,-0.301,0.184,6013.5,69.27600000000001,-0.07,0.1,2.39,0.104,-0.095,0.028,1.325,0.058,-0.05,0.043,3.802,0.026,-0.027000000000000003,0.006,0.09667,0.009696,-0.009474,0.001512,3.544,0.396,-0.39,0.333,2051083248784888576,6227,125,622.215,10.28,9.978,2.567,0.116,0.11,0.24,1,0,1635721458409799680,b'Gaia DR2 2051083248784888576',2051083248784888576,951146959,2015.5,290.50559137541734,0.02009141703446544,37.45893516017856,0.026062166131648936,1.5785922761495108,0.026386132806215327,59.826588,-6.407060118896299,0.04579728398530962,-17.879153247836413,0.05209792855623073,0.004819321,0.10284637,0.06040495,-0.20674834,0.26202673,-0.17365198,-0.31300986,-0.12222481,-0.23002079,-0.17794539,213,213,205,8,9.170777000000001,444.06198,0.0,3.9556709943964335e-15,31,True,454.8049,1.6367969491945282,0.006122882439840888,0.013043721000000001,24,15,0.04039924,0,27,False,201,556154.9176606791,271.848107703863,2045.8296,11.325376499999999,23,315365.8084585628,332.3192604503409,948.9844400000001,11.604352,21,348163.32027834986,192.08433275478347,1812.5544,10.907461999999999,1.1930653,0,0.6968899000000001,0.2789755,0.4179144,26.48442064460839,3.964573572620447,8,6750.0,4.0,0.0,b'NOT_AVAILABLE',69.77361116994862,10.563677674561694,302.2786252463511,58.621960269616025,100001,6667.0547,6052.0,7105.455,,,,,,,200111,2.202229,1.9388611,2.672592,8.63288,8.390896000000001,8.874865,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2051083248784888576',,2051083248784888576,b'19220135+3727324',0.05001021064377943,5,399448188,1,0,1,2010607,2051083248784888576,2MASS J19220135+3727324,290.505646,37.459015,b'19220135+3727324',10.427,0.02,10.204,0.021,10.155,0.019,b'AAA',b'222',b'111',b'000',0,0,3.797904688958752,0.094409453276996,3.7857056488235865,0.09441148282451577,0.04,1.11215380248851,0.03623167730302663,-0.12077345426279402,0.0360443004555334,10.129,0.03864,0.00644,9.82823273754131,0.4928686599930196
2309595,643.2080000000002,11.226,39.029,0.721,28.9,1.767,5238.0,65.0,-0.095,0.101,2.423,0.076,-0.073,0.022,1.167,0.084,-0.077,0.023,3.736,0.008,-0.008,0.002,0.08183,0.002543,-0.002494,0.0007097000000000001,5.46,1.351,-1.023,0.422,5000.2,69.27600000000001,-0.095,0.101,2.3,0.08,-0.073,0.063,1.022,0.08199999999999999,-0.073,0.07,3.723,0.008,-0.008,0.006999999999999999,0.0839,0.002592,-0.002614,0.001254,9.537,2.667,-2.196,2.517,2051847684243759104,5152,103,388.066,4.202,4.124,2.397,0.104,0.098,0.13,1,0,1635721458409799680,b'Gaia DR2 2051847684243759104',2051847684243759104,789196893,2015.5,292.9014487360415,0.019937124060284358,37.62450961132608,0.02736590398327516,2.547899676366185,0.027855535546288744,91.468346,-5.67018139905034,0.04289287984243023,5.790695273584302,0.05304423077884994,-0.02545148,0.16621141,-0.14587611,-0.16813767,0.32826695,-0.14274336,-0.3085687,-0.055297865999999994,-0.27567986,-0.22684504,210,210,205,5,3.3236065000000004,273.2866,0.0,0.0,31,True,404.6042,1.5452008962100654,0.006192717422781945,-0.08654982,24,13,0.040487256,0,27,False,223,518786.0531497653,176.98738774248073,2931.2036,11.400895,26,245500.62613092066,270.12352075353755,908.8458,11.876257,25,387857.61803192156,259.2785928206063,1495.9106,10.790239,1.2208466999999998,0,1.0860176000000001,0.47536182,0.6106558000000001,-8.975526957293283,0.23241050389742224,3,5250.0,3.5,-0.25,b'NOT_AVAILABLE',70.7937408572238,8.943386074900967,305.8506917522062,58.247057576087435,100001,5035.53,4964.7646,5101.3096,,,,,,,200111,2.4436037999999995,2.380991,2.5137598999999997,3.4588916,3.3966858,3.5210974000000004,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2051847684243759104',,2051847684243759104,b'19313636+3737281',0.06936916450424258,5,399860133,1,0,1,2309595,2051847684243759104,2MASS J19313636+3737281,292.901507,37.624481,b'19313636+3737281',10.04,0.022000000000000002,9.604,0.02,9.5,0.018000000000000002,b'AAA',b'222',b'111',b'000',0,0,3.73482452122853,0.009082586787084394,3.7247354620678568,0.009180594274356586,0.04,1.7312364033027898,0.03811259770073006,-0.08682417093013158,0.035706030450698235,4.163,0.02093,0.00644,3.8876631402897277,0.17396704284697023
2450729,1053.105,114.904,61.91,2.539,28.9,1.47,6029.0,59.0,-0.212,0.1,1.758,0.059,-0.056,0.023,1.112,0.051,-0.051,0.03,3.994,0.02,-0.021,0.006,0.2043,0.01594,-0.014980000000000004,0.002889,6.034,0.804,-0.718,0.55,5840.4,69.27600000000001,-0.212,0.1,1.725,0.06,-0.056,0.028,1.047,0.052000000000000005,-0.051,0.042,3.984,0.02,-0.021,0.006999999999999999,0.2035,0.01564,-0.01573,0.002757,7.724,1.051,-0.953,1.221,2051667914096024448,5868,117,272.828,2.175,2.147,1.735,0.07400000000000001,0.07,0.163,1,0,1635721458409799680,b'Gaia DR2 2051667914096024448',2051667914096024448,1066183801,2015.5,293.0736309167399,0.02155418256105773,37.71658174566087,0.026427068535633296,3.636056444792692,0.029286424557973686,124.155014,12.934760459237909,0.04221328638981442,27.411002968676968,0.044790281057105016,0.19672091,0.2525139,-0.30791620000000003,-0.1453502,0.46437857,-0.23636177,-0.2716301,-0.27404609999999996,-0.09485154,0.095783316,224,224,210,14,7.225908,387.8624,0.0,0.0,31,True,349.0813,1.5970504267357413,0.0077725400345673296,0.09233993,26,14,0.034735434,0,29,False,224,1059998.6374299568,259.63684011378683,4082.6204,10.625102,25,576421.3909475636,433.72182041656316,1329.0117,10.949538,27,691085.5722623245,470.08503838261163,1470.1288,10.163091,1.1957628999999999,1,0.7864475000000001,0.3244362,0.46201134,,,0,,,,b'NOT_AVAILABLE',70.94013987305645,8.865074608384662,306.149994093028,58.29476350429336,100002,5840.4927,5716.0,6028.25,,,,,,,200111,1.7347596999999997,1.6283801000000002,1.8111476999999998,3.1547961,3.1137203999999996,3.1958718,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2051667914096024448',,2051667914096024448,b'19321765+3742592',0.04351016463210836,5,400087950,1,0,1,2450729,2051667914096024448,2MASS J19321765+3742592,293.073563,37.716460999999995,b'19321765+3742592',9.585,0.02,9.333,0.019,9.283,0.018000000000000002,b'AAA',b'222',b'111',b'000',0,0,3.9794846534812174,0.047620416535352914,3.972583307694107,0.04764265535930931,0.04,1.2874476489532276,0.03169272154058345,-0.06846573649862357,0.036927142366030966,2.1609999999999996,0.026243000000000002,0.00644,3.548918444199688,0.1334006877518289
2837475,1629.761,18.396,75.72,0.129,1029.4,1.767,6688.0,57.0,-0.015,0.1,1.71,0.022,-0.043,0.039,1.665,0.054000000000000006,-0.133,0.091,4.1930000000000005,0.008,-0.011,0.006,0.3319,0.002563,-0.0028350000000000003,0.006215999999999999,1.131,0.197,-0.181,0.221,6335.4,69.27600000000001,-0.015,0.1,1.726,0.065,-0.014,0.067,1.672,0.2,-0.041,0.195,4.185,0.019,-0.006999999999999999,0.02,0.3245,0.002867,-0.002731,0.003638,1.804,0.313,-0.285,0.529,2099526837747055232,6614,132,120.809,0.42,0.418,1.646,0.071,0.067,0.042,0,0,1635721458409799680,b'Gaia DR2 2099526837747055232',2099526837747055232,1298060034,2015.5,287.5485738334632,0.02301949753079076,38.082133584002044,0.02746345392538961,8.247790541507515,0.02896614177700503,284.7390000000001,15.452962168719518,0.050476140088728284,-9.41774080663825,0.05233459598171565,-0.066212445,-0.14688258,-0.04412829,0.07202328,0.21504146,0.045064487,-0.20824957,-0.08401397599999999,-0.09321241,-0.017232406999999998,232,232,230,2,8.771024,465.9771,0.0,0.0,31,False,135.3087,1.6578192435197072,0.006855248233266259,-0.03836308,26,15,0.03777735,0,28,False,237,8243536.081158822,2153.552744971927,3827.8774,8.398082,25,4881430.473157343,3815.749098623268,1279.2849,8.63002,25,4816991.7181826215,5312.191772311853,906.78046,8.05498,1.1764881999999999,0,0.57503986,0.23193836,0.3431015,-13.817216208883725,0.40488168966186144,11,6750.0,4.0,0.0,b'NOT_AVAILABLE',69.32715059297958,12.942825122184546,298.1675685482082,59.81701698996479,100001,6700.0,6541.8735,6790.705,0.62,0.3319,0.9901,0.3363,0.166,0.5007,200111,1.6069455,1.5643035,1.6855686999999997,4.6880927,4.661353,4.714832299999999,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2099526837747055232',,2099526837747055232,b'19101163+3804559',0.08251739495197583,5,400990322,1,0,1,2837475,2099526837747055232,2MASS J19101163+3804559,287.548468,38.082198999999996,b'19101163+3804559',7.649,0.021,7.481,0.016,7.463999999999999,0.027000000000000003,b'AAA',b'111',b'111',b'000',0,0,4.1916623899935095,0.006725670531574363,4.179901277909355,0.00688822305774755,0.04,0.9784174555076636,0.027736511413771547,0.04174031762991764,0.030834439439942806,0.419,0.006762000000000001,0.00644,4.852174339014392,0.178558925677143
2849125,722.576,27.254,41.322,1.97,24.9,1.624,6158.0,56.0,0.293,0.101,2.5340000000000003,0.115,-0.08900000000000001,0.028,1.534,0.193,-0.071,0.038,3.82,0.015,-0.015,0.002,0.09451,0.005343,-0.005109000000000001,0.001265,2.583,0.29100000000000004,-0.8009999999999999,0.107,6074.4,69.27600000000001,0.293,0.101,2.506,0.096,-0.069,0.039,1.497,0.1,-0.054000000000000006,0.056,3.815,0.015,-0.015,0.006,0.09494,0.005243,-0.005095000000000001,0.001103,2.793,0.249,-0.462,0.317,2052614421804974464,6068,121,601.089,9.109,8.865,2.637,0.118,0.112,0.17800000000000002,1,0,1635721458409799680,b'Gaia DR2 2052614421804974464',2052614421804974464,1275471001,2015.5,290.7306604068038,0.02008302738292461,38.08566498955752,0.0257489899957737,1.6348882360613963,0.025075703269819564,65.198105,-1.230187769676941,0.04132353085820041,-1.5467242965945354,0.04896452325065966,-0.027066015,0.057472147,-0.22388016,0.09430647,0.15196164,0.06137028,-0.44394112,-0.21537815,-0.012365363999999998,-0.02577304,202,202,196,6,10.829583999999999,489.22695999999996,0.0,0.0,31,False,495.60402999999997,1.6295195621443428,0.006429966244875135,-0.01570451,24,15,0.038438164,0,29,False,228,572104.1828517088,289.5488194414912,1975.8470000000002,11.294678,22,313773.0916341694,516.7360638532507,607.2212,11.609849,21,366994.2327587633,223.0637896752668,1645.2434,10.850272,1.1899358999999998,0,0.7595768,0.31517124,0.44440556,-24.291970503590175,0.539775423359484,9,6500.0,4.0,-0.25,b'NOT_AVAILABLE',70.42565773448473,10.680818923222883,302.93919665412017,59.176958791446296,100001,5803.25,5733.0,5980.0,,,,,,,200111,2.8739338,2.7065556,2.9447975,8.439824,8.218687,8.660961,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052614421804974464',,2052614421804974464,b'19225536+3805084',0.02039148195193769,5,400998763,1,0,1,2849125,2052614421804974464,2MASS J19225536+3805084,290.7306680000001,38.085678,b'19225536+3805084',10.327,0.021,10.088,0.02,10.037,0.018000000000000002,b'AAA',b'222',b'111',b'000',0,0,3.820493711685868,0.017029500173139433,3.817525562837208,0.01709495044969421,0.04,1.236383805733133,0.029619479403301563,-0.03555723345200423,0.03584463435344306,8.987,0.028658000000000003,0.00644,9.03622920896366,0.3988520426107094
2852862,983.522,16.419,53.556,0.149,523.7,1.411,6417.0,58.0,-0.155,0.1,2.087,0.019,-0.021,0.026,1.4580000000000002,0.032,-0.029,0.052000000000000005,3.962,0.005,-0.006999999999999999,0.004,0.1604,0.001431,-0.001359,0.0009177,2.261,0.262,-0.156,0.302,6008.1,69.27600000000001,-0.155,0.1,2.009,0.016,-0.02,0.04,1.254,0.032,-0.036000000000000004,0.07200000000000001,3.929,0.005,-0.005,0.008,0.1544,0.00107,-0.0009576,0.0009736,4.507,0.391,-0.339,0.999,2052579374867447936,6261,125,384.364,3.465,3.414,2.115,0.09,0.086,0.119,1,0,1635721458409799680,b'Gaia DR2 2052579374867447936',2052579374867447936,1632393764,2015.5,291.52574513998627,0.018618785398643548,38.04342678382253,0.0214149217426142,2.572352362643414,0.02353713730347501,109.28908999999999,-17.763017154198202,0.03960109700878784,-15.529283749339767,0.04282989847674283,-0.009606234,0.056804935999999986,-0.19683294,-0.0054719895,0.26002088,-0.029770045,-0.14607501,-0.10260195,-0.086007506,-0.049647547,230,230,229,1,8.772024,464.6071,0.0,0.0,31,False,306.2657200000001,1.6503741828189409,0.0063170282902071705,-0.085267305,26,15,0.033166945,0,30,False,253,1047479.7579103272,286.91878074144483,3650.7883,10.638001,26,595468.2100828992,551.4928371806268,1079.7388,10.914242,28,649281.1973651281,296.9483062005729,2186.5125,10.230838,1.1883278999999998,1,0.68340397,0.27624035,0.40716362,-25.588529201912,0.7498998355439314,5,6000.0,3.5,0.0,b'NOT_AVAILABLE',70.67055405482694,10.101496574523736,304.08581499240637,58.9617796712718,100002,6363.0,6068.795,6848.98,0.7340000000000001,0.2829,1.2533,0.4105,0.142,0.6751,200111,2.037413,1.7585354,2.2397418,6.130565,6.0324725999999975,6.2286577,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052579374867447936',,2052579374867447936,b'19260620+3802366',0.02356302631901117,5,400894956,1,0,1,2852862,2052579374867447936,2MASS J19260620+3802366,291.525853,38.043507,b'19260620+3802366',9.772,0.021,9.54,0.016,9.511000000000001,0.018000000000000002,b'AAA',b'222',b'111',b'000',0,0,3.9633404353691017,0.008613688314005438,3.9490429919930974,0.008752858041150316,0.04,1.096323856919703,0.029656765682349658,-0.024412160934704857,0.03689538944253002,3.4395,0.019159,0.00644,6.7642471281999885,0.2509472074850093
2991448,1111.248,18.148,61.732,0.899,92.6,1.609,5836.0,70.0,-0.085,0.1,1.757,0.033,-0.034,0.024,1.113,0.047,-0.05,0.024,3.994,0.006999999999999999,-0.006999999999999999,0.003,0.2051,0.004602,-0.004536999999999999,0.002813,6.8820000000000014,0.8959999999999999,-0.813,0.456,5576.0,69.27600000000001,-0.085,0.1,1.712,0.033,-0.034,0.029,1.03,0.045,-0.046,0.049,3.983,0.006999999999999999,-0.006999999999999999,0.006,0.2051,0.004721,-0.004561,0.002617,9.407,1.111,-1.002,1.26,2052659879738450048,5635,113,280.397,2.329,2.298,1.86,0.08,0.076,0.075,1,0,1635721458409799680,b'Gaia DR2 2052659879738450048',2052659879738450048,1389513764,2015.5,291.8246955697834,0.02099957631481457,38.113118330002926,0.02840977234911388,3.537201953170364,0.029688377756963983,119.14433000000001,-42.80631629274856,0.042998833394576885,-17.330808539283936,0.052601385490658036,0.15863746,0.17847486,-0.12601599,-0.08329766,0.32636267,-0.18997253,-0.31863862,-0.31870386,0.019883206,0.120884776,215,215,209,6,12.65734,580.00507,0.0,1.9636233214824494e-15,31,True,283.58258,1.5995631035437885,0.00730611834208895,0.13226567,25,15,0.038854446,0,29,False,226,978111.8382111021,190.77541770410892,5127.0327,10.712394999999999,27,510835.36707320646,401.304426319672,1272.9373,11.080686,26,663860.0435618532,669.7732532787351,991.1713,10.206729,1.2009827,0,0.8739566999999999,0.36829090000000003,0.5056657999999999,6.7596404193265975,1.0703689950959356,6,5750.0,4.0,-0.25,b'NOT_AVAILABLE',70.84126822289363,9.92268928757181,304.56180793792237,58.96152945533237,100001,5486.1,5370.3,5754.5,,,,,,,200111,1.9681721,1.7888558,2.0539669999999997,3.1613729999999998,3.1186845,3.2040613,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052659879738450048',,2052659879738450048,b'19271797+3806475',0.12087273586335907,5,401066106,1,0,1,2991448,2052659879738450048,2MASS J19271797+3806475,291.8248910000001,38.113197,b'19271797+3806475',9.602,0.026000000000000002,9.267000000000001,0.032,9.225,0.021,b'AAA',b'222',b'111',b'000',0,0,3.99575897076037,0.008652563092039335,3.9858627116946392,0.008681089210467853,0.04,1.4043832080288852,0.03749733536115973,0.010755761725069979,0.03377934341450041,2.3135000000000003,0.012075,0.00644,3.5044788418612436,0.1517162540630322
2998253,1884.738,226.07,87.227,5.653,31.0,1.0490000000000002,6333.0,54.0,0.057,0.1,1.425,0.062,-0.056,0.017,1.262,0.041,-0.045,0.043,4.23,0.029,-0.03,0.005,0.4347,0.04684,-0.03082,0.002311,2.624,0.451,-0.425,0.597,6235.8,69.27600000000001,0.057,0.1,1.416,0.062,-0.056,0.021,1.234,0.046,-0.053,0.054000000000000006,4.225,0.029,-0.03,0.006999999999999999,0.4318,0.03398,-0.05593,0.004179,3.141,0.675,-0.532,0.918,2052236773922878336,6298,126,253.594,1.568,1.5530000000000002,1.455,0.061,0.058,0.051,0,0,1635721458409799680,b'Gaia DR2 2052236773922878336',2052236773922878336,1040967442,2015.5,293.29146028171164,0.01944299792198641,38.107248884604296,0.0238430862312037,3.913774677866837,0.02447985393346845,159.87736999999996,4.461753224657773,0.04118505019736415,-11.168286487091287,0.046757324440057695,0.07820582,0.021692648999999998,0.06385819,-0.09416027,0.15938355,-0.13337204,-0.25696679999999994,-0.1853652,0.026923155,0.09477368,223,223,220,3,8.129014,430.39867999999996,0.0,0.0,31,False,260.2063,1.6398279127086368,0.005817137415650794,0.15771309,27,16,0.036430296,0,30,False,247,1159416.22434584,327.49906055958246,3540.2124,10.527766999999999,29,658024.121038845,505.82416564559264,1300.895,10.805783,27,717217.9365828653,387.2934600723214,1851.8721,10.122792,1.1861503999999998,0,0.682991,0.27801609999999993,0.40497494,-32.360428344295485,0.7696743042922339,7,6500.0,4.0,-0.25,b'NOT_AVAILABLE',71.3711364012392,8.893769891147087,306.68695308280473,58.61607928573368,100001,6240.25,6072.5,6625.94,0.423,0.1489,0.622,0.191,0.0513,0.2627,200111,1.4661932,1.3004696000000002,1.5483178999999998,2.9368724999999998,2.9052086,2.9685363999999996,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052236773922878336',,2052236773922878336,b'19330994+3806262',0.022909535359760213,5,401051748,1,0,1,2998253,2052236773922878336,2MASS J19330994+3806262,293.291441,38.107304,b'19330994+3806262',9.655,0.02,9.435,0.02,9.396,0.018000000000000002,b'AAA',b'222',b'111',b'000',0,0,4.242946067687462,0.05229578288603688,4.239587412508753,0.05231864081816639,0.04,1.1554789157271468,0.02726115427981648,0.046875385734606916,0.0323117072758975,1.5605000000000002,0.008211,0.00644,3.0688155186469834,0.10140335516890817
3112152,1221.493,54.117,65.13,2.122,26.1,1.231,6282.0,59.0,-0.136,0.1,1.741,0.047,-0.046,0.031,1.251,0.084,-0.066,0.051,4.052,0.014,-0.016,0.004,0.2361,0.01084,-0.01108,0.00228,3.778,0.715,-0.914,0.8590000000000001,5778.5,69.27600000000001,-0.136,0.1,1.644,0.045,-0.043,0.025,1.041,0.054000000000000006,-0.05,0.039,4.024,0.014,-0.014,0.006,0.2341,0.0118,-0.0115,0.002913,8.392000000000001,1.152,-1.074,1.325,2052817449196899968,6019,120,474.466,5.292000000000002,5.19,1.741,0.076,0.07200000000000001,0.198,1,0,1635721458409799680,b'Gaia DR2 2052817449196899968',2052817449196899968,795289603,2015.5,290.34301932049607,0.018704941927663518,38.286899144920675,0.021895654564171002,2.078475534915428,0.023514654637248267,88.39065,9.752345916012617,0.04236883372120375,2.1697416662870266,0.04376004994270535,-0.034652025,0.01779767,-0.31570208,-0.023368519,0.3394014,-0.029279593,-0.33403516,0.029283842,-0.30887908,-0.19689223,239,239,232,7,3.6333727999999996,312.7256,0.0,0.0,31,True,415.7729,1.6228003451148685,0.0057150610475070075,-0.07201490599999999,27,15,0.036811027999999996,0,29,False,236,407854.05624567094,71.88429755430278,5673.7573,11.662104,26,226544.0146730973,286.41109093541303,790.97504,11.963507,25,261969.3419493413,189.6040565637135,1381.6653,11.216294,1.1977651000000002,0,0.7472124,0.30140305,0.44580936,-11.202217384071169,0.549184815693601,14,6500.0,4.0,-0.25,b'NOT_AVAILABLE',70.47324071554061,11.042959372496425,302.47271698041834,59.45383940808239,100001,5935.0,5888.75,6127.0,,,,,,,200111,1.818775,1.7065723000000002,1.8474564999999998,3.6977334,3.6245606,3.7709062000000007,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2052817449196899968',,2052817449196899968,b'19212230+3817128',0.08702325397075276,5,401493231,1,0,1,3112152,2052817449196899968,2MASS J19212230+3817128,290.342948,38.286910999999996,b'19212230+3817128',10.765999999999998,0.019,10.503,0.022000000000000002,10.442,0.018000000000000002,b'AAA',b'222',b'111',b'000',0,0,4.0528302853444345,0.01980285756549966,4.034688878119725,0.01986884502326234,0.04,1.1560194902439624,0.030265386608787883,-0.09204477809202084,0.03682008057098821,5.241000000000001,0.031878000000000004,0.00644,4.187488207340252,0.16618697209772293
