KIC,Teff_SDSS,eTeff_SDSS,[M/H]_SDSS,e[M/H]_SDSS,Radius_SDSS,+eRad_SDSS,-eRad_SDSS,syRad_SDSS,Mass_SDSS,+eMas_SDSS,-eMas_SDSS,syMas_SDSS,logg_SDSS,+elogg_SDSS,-elogg_SDSS,sylogg_SDSS,rho_SDSS,+erho_SDSS,-erho_SDSS,syrho_SDSS,Age_SDSS,+eAge_SDSS,-eAge_SDSS,syAge_SDSS,Teff_ASPC,eTeff_ASPC,[M/H]_ASPC,e[M/H]_ASPC,Radius_ASPC,+eRad_ASPC,-eRad_ASPC,syRad_ASPC,Mass_ASPC,+eMas_ASPC,-eMas_ASPC,syMas_ASPC,logg_ASPC,+elogg_ASPC,-elogg_ASPC,sylogg_ASPC,rho_ASPC,+erho_ASPC,-erho_ASPC,syrho_ASPC,Age_ASPC,+eAge_ASPC,-eAge_ASPC,syAge_ASPC,Gaia,Teff,e_Teff,D,+e_D,-e_D,R,+e_R,-e_R,AV,Evol,Bin
1435467,6433.0,86.0,-0.028,0.099,1.693,0.015,-0.016,0.01,1.344,0.039,-0.036000000000000004,0.022,4.109,0.006,-0.006,0.002,0.2777,0.002376,-0.002391,0.001505,2.605,0.302,-0.293,0.215,6096.7,69.27600000000001,-0.028,0.099,1.676,0.012,-0.011,0.013,1.277,0.03,-0.026,0.031,4.095,0.005,-0.005,0.004,0.2711,0.001138,-0.001015,0.001526,3.746,0.349,-0.324,0.496,2051714265379610624,6326,127,136.664,0.56,0.557,1.695,0.071,0.067,0.023,1,0
2010607,6361.0,71.0,-0.07,0.1,2.41,0.1,-0.09,0.035,1.402,0.067,-0.051,0.047,3.819,0.027000000000000003,-0.027000000000000003,0.003,0.09973,0.009867,-0.009399,0.001393,2.755,0.29600000000000004,-0.301,0.184,6013.5,69.27600000000001,-0.07,0.1,2.39,0.104,-0.095,0.028,1.325,0.058,-0.05,0.043,3.802,0.026,-0.027000000000000003,0.006,0.09667,0.009696,-0.009474,0.001512,3.544,0.396,-0.39,0.333,2051083248784888576,6227,125,622.215,10.28,9.978,2.567,0.116,0.11,0.24,1,0
2309595,5238.0,65.0,-0.095,0.101,2.423,0.076,-0.073,0.022,1.167,0.084,-0.077,0.023,3.736,0.008,-0.008,0.002,0.08183,0.002543,-0.002494,0.0007097000000000001,5.46,1.351,-1.023,0.422,5000.2,69.27600000000001,-0.095,0.101,2.3,0.08,-0.073,0.063,1.022,0.08199999999999999,-0.073,0.07,3.723,0.008,-0.008,0.006999999999999999,0.0839,0.002592,-0.002614,0.001254,9.537,2.667,-2.196,2.517,2051847684243759104,5152,103,388.066,4.202,4.124,2.397,0.104,0.098,0.13,1,0
2450729,6029.0,59.0,-0.212,0.1,1.758,0.059,-0.056,0.023,1.112,0.051,-0.051,0.03,3.994,0.02,-0.021,0.006,0.2043,0.01594,-0.014980000000000004,0.002889,6.034,0.804,-0.718,0.55,5840.4,69.27600000000001,-0.212,0.1,1.725,0.06,-0.056,0.028,1.047,0.052000000000000005,-0.051,0.042,3.984,0.02,-0.021,0.006999999999999999,0.2035,0.01564,-0.01573,0.002757,7.724,1.051,-0.953,1.221,2051667914096024448,5868,117,272.828,2.175,2.147,1.735,0.07400000000000001,0.07,0.163,1,0
2837475,6688.0,57.0,-0.015,0.1,1.71,0.022,-0.043,0.039,1.665,0.054000000000000006,-0.133,0.091,4.1930000000000005,0.008,-0.011,0.006,0.3319,0.002563,-0.0028350000000000003,0.006215999999999999,1.131,0.197,-0.181,0.221,6335.4,69.27600000000001,-0.015,0.1,1.726,0.065,-0.014,0.067,1.672,0.2,-0.041,0.195,4.185,0.019,-0.006999999999999999,0.02,0.3245,0.002867,-0.002731,0.003638,1.804,0.313,-0.285,0.529,2099526837747055232,6614,132,120.809,0.42,0.418,1.646,0.071,0.067,0.042,0,0
2849125,6158.0,56.0,0.293,0.101,2.5340000000000003,0.115,-0.08900000000000001,0.028,1.534,0.193,-0.071,0.038,3.82,0.015,-0.015,0.002,0.09451,0.005343,-0.005109000000000001,0.001265,2.583,0.29100000000000004,-0.8009999999999999,0.107,6074.4,69.27600000000001,0.293,0.101,2.506,0.096,-0.069,0.039,1.497,0.1,-0.054000000000000006,0.056,3.815,0.015,-0.015,0.006,0.09494,0.005243,-0.005095000000000001,0.001103,2.793,0.249,-0.462,0.317,2052614421804974464,6068,121,601.089,9.109,8.865,2.637,0.118,0.112,0.17800000000000002,1,0
2852862,6417.0,58.0,-0.155,0.1,2.087,0.019,-0.021,0.026,1.4580000000000002,0.032,-0.029,0.052000000000000005,3.962,0.005,-0.006999999999999999,0.004,0.1604,0.001431,-0.001359,0.0009177,2.261,0.262,-0.156,0.302,6008.1,69.27600000000001,-0.155,0.1,2.009,0.016,-0.02,0.04,1.254,0.032,-0.036000000000000004,0.07200000000000001,3.929,0.005,-0.005,0.008,0.1544,0.00107,-0.0009576,0.0009736,4.507,0.391,-0.339,0.999,2052579374867447936,6261,125,384.364,3.465,3.414,2.115,0.09,0.086,0.119,1,0
2991448,5836.0,70.0,-0.085,0.1,1.757,0.033,-0.034,0.024,1.113,0.047,-0.05,0.024,3.994,0.006999999999999999,-0.006999999999999999,0.003,0.2051,0.004602,-0.004536999999999999,0.002813,6.8820000000000014,0.8959999999999999,-0.813,0.456,5576.0,69.27600000000001,-0.085,0.1,1.712,0.033,-0.034,0.029,1.03,0.045,-0.046,0.049,3.983,0.006999999999999999,-0.006999999999999999,0.006,0.2051,0.004721,-0.004561,0.002617,9.407,1.111,-1.002,1.26,2052659879738450048,5635,113,280.397,2.329,2.298,1.86,0.08,0.076,0.075,1,0
2998253,6333.0,54.0,0.057,0.1,1.425,0.062,-0.056,0.017,1.262,0.041,-0.045,0.043,4.23,0.029,-0.03,0.005,0.4347,0.04684,-0.03082,0.002311,2.624,0.451,-0.425,0.597,6235.8,69.27600000000001,0.057,0.1,1.416,0.062,-0.056,0.021,1.234,0.046,-0.053,0.054000000000000006,4.225,0.029,-0.03,0.006999999999999999,0.4318,0.03398,-0.05593,0.004179,3.141,0.675,-0.532,0.918,2052236773922878336,6298,126,253.594,1.568,1.5530000000000002,1.455,0.061,0.058,0.051,0,0
3112152,6282.0,59.0,-0.136,0.1,1.741,0.047,-0.046,0.031,1.251,0.084,-0.066,0.051,4.052,0.014,-0.016,0.004,0.2361,0.01084,-0.01108,0.00228,3.778,0.715,-0.914,0.8590000000000001,5778.5,69.27600000000001,-0.136,0.1,1.644,0.045,-0.043,0.025,1.041,0.054000000000000006,-0.05,0.039,4.024,0.014,-0.014,0.006,0.2341,0.0118,-0.0115,0.002913,8.392000000000001,1.152,-1.074,1.325,2052817449196899968,6019,120,474.466,5.292000000000002,5.19,1.741,0.076,0.07200000000000001,0.198,1,0
