RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg,tm_designation,gaia_source_id,kepid,nearest_neighbour
292.08269,37.059811,b'19281984+3703353',7.983,0.024,7.753,0.023,7.718,0.017,b'AAA',b'111',b'111',b'000',0,0,2MASS J19281984+3703353,2051714265379610624,1435467,1
290.505646,37.459015,b'19220135+3727324',10.427,0.02,10.204,0.021,10.155,0.019,b'AAA',b'222',b'111',b'000',0,0,2MASS J19220135+3727324,2051083248784888576,2010607,1
292.901507,37.624481,b'19313636+3737281',10.04,0.022,9.604,0.02,9.5,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19313636+3737281,2051847684243759104,2309595,1
293.073563,37.716461,b'19321765+3742592',9.585,0.02,9.333,0.019,9.283,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19321765+3742592,2051667914096024448,2450729,1
287.548468,38.082199,b'19101163+3804559',7.649,0.021,7.481,0.016,7.464,0.027,b'AAA',b'111',b'111',b'000',0,0,2MASS J19101163+3804559,2099526837747055232,2837475,1
290.730668,38.085678,b'19225536+3805084',10.327,0.021,10.088,0.02,10.037,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19225536+3805084,2052614421804974464,2849125,1
291.525853,38.043507,b'19260620+3802366',9.772,0.021,9.54,0.016,9.511,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19260620+3802366,2052579374867447936,2852862,1
291.824891,38.113197,b'19271797+3806475',9.602,0.026,9.267,0.032,9.225,0.021,b'AAA',b'222',b'111',b'000',0,0,2MASS J19271797+3806475,2052659879738450048,2991448,1
293.291441,38.107304,b'19330994+3806262',9.655,0.02,9.435,0.02,9.396,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19330994+3806262,2052236773922878336,2998253,1
290.342948,38.286911,b'19212230+3817128',10.766,0.019,10.503,0.022,10.442,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19212230+3817128,2052817449196899968,3112152,1
290.538074,38.242142,b'19220913+3814317',10.208,0.021,9.976,0.016,9.925,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19220913+3814317,2052807725390942848,3112889,1
291.11702,38.213924,b'19242808+3812501',10.011,0.021,9.495,0.019,9.421,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19242808+3812501,2052628612377410688,3115178,1
287.962705,38.395519,b'19115104+3823438',8.455,0.021,8.285,0.036,8.156,0.034,b'AAA',b'111',b'111',b'000',0,0,2MASS J19115104+3823438,2099557894653958144,3223000,1
293.085186,38.341747,b'19322044+3820302',9.101,0.022,8.79,0.017,8.711,0.018,b'AAA',b'212',b'111',b'000',0,0,2MASS J19322044+3820302,2052255843577676288,3241581,1
287.613912,38.481346,b'19102733+3828528',8.982,0.026,8.499,0.027,8.478,0.018,b'AAA',b'112',b'111',b'000',0,0,2MASS J19102733+3828528,2099551641180945280,3329196,1
285.179067,38.573574,b'19004297+3834248',8.863,0.019,8.684,0.024,8.614,0.024,b'AAA',b'222',b'111',b'000',0,0,2MASS J19004297+3834248,2100127274175097344,3424541,1
286.438586,38.52293,b'19054526+3831225',8.094,0.02,7.843,0.016,7.826,0.017,b'AAA',b'111',b'111',b'000',0,0,2MASS J19054526+3831225,2099985402815368704,3427720,1
287.007073,38.525425,b'19080169+3831315',8.716,0.037,8.278,0.021,8.183,0.02,b'AAA',b'112',b'111',b'000',0,0,2MASS J19080169+3831315,2099234844390196480,3429205,1
287.621423,38.538391,b'19102914+3832182',9.836,0.021,9.579,0.022,9.519,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19102914+3832182,2099555012732796800,3430893,1
287.621423,38.538391,b'19102914+3832182',9.836,0.021,9.579,0.022,9.519,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19102914+3832182,2099555012728529408,3430893,0
287.621423,38.538391,b'19102914+3832182',9.836,0.021,9.579,0.022,9.519,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19102914+3832182,2099555012732796800,3430893,1
287.621423,38.538391,b'19102914+3832182',9.836,0.021,9.579,0.022,9.519,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19102914+3832182,2099555012728529408,3430893,0
289.760236,38.575275,b'19190245+3834309',10.14,0.027,9.772,0.033,9.682,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19190245+3834309,2051388122743101824,3437637,1
290.028317,38.598026,b'19200679+3835528',10.184,0.019,9.943,0.016,9.922,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19200679+3835528,2052875246577238656,3438633,1
291.727158,38.689587,b'19265451+3841225',9.987,0.021,9.706,0.021,9.675,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19265451+3841225,2052738563540624000,3545753,1
286.517082,38.72644,b'19060409+3843351',10.266,0.022,9.834,0.021,9.73,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19060409+3843351,2100005949939538176,3630240,1
287.361799,38.714031,b'19092683+3842505',7.229,0.032,7.031,0.023,6.945,0.018,b'AAA',b'111',b'111',b'000',0,0,2MASS J19092683+3842505,2099606483621385216,3632418,1
287.896099,38.743759,b'19113506+3844375',9.265,0.022,9.041,0.023,8.972,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19113506+3844375,2099584557810296832,3633847,1
287.914134,38.734634,b'19113939+3844046',9.212,0.022,9.022,0.033,8.946,0.018,b'AAA',b'212',b'111',b'000',0,0,2MASS J19113939+3844046,2099583733176576128,3633889,1
290.540009,38.760338,b'19220960+3845372',8.977,0.021,8.586,0.033,8.493,0.018,b'AAA',b'112',b'111',b'000',0,0,2MASS J19220960+3845372,2052857615733303168,3642422,1
290.947067,38.777008,b'19234729+3846372',8.89,0.02,8.657,0.016,8.572,0.017,b'AAA',b'112',b'111',b'000',0,0,2MASS J19234729+3846372,2052848445981103104,3643774,1
290.947067,38.777008,b'19234729+3846372',8.89,0.02,8.657,0.016,8.572,0.017,b'AAA',b'112',b'111',b'000',0,0,2MASS J19234729+3846372,2052848445975408896,3643774,0
290.947067,38.777008,b'19234729+3846372',8.89,0.02,8.657,0.016,8.572,0.017,b'AAA',b'112',b'111',b'000',0,0,2MASS J19234729+3846372,2052848445981103104,3643774,1
290.947067,38.777008,b'19234729+3846372',8.89,0.02,8.657,0.016,8.572,0.017,b'AAA',b'112',b'111',b'000',0,0,2MASS J19234729+3846372,2052848445975408896,3643774,0
294.203317,38.715782,b'19364879+3842568',8.382,0.024,8.083,0.023,8.008,0.017,b'AAA',b'112',b'111',b'000',0,0,2MASS J19364879+3842568,2052184512764630272,3656476,1
294.332687,38.744774,b'19371984+3844411',8.737,0.023,8.511,0.029,8.427,0.02,b'AAA',b'122',b'111',b'000',0,0,2MASS J19371984+3844411,2052179015206598656,3657002,1
295.263536,38.74601,b'19410324+3844456',9.65,0.021,9.292,0.019,9.241,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19410324+3844456,2076160532037818624,3661135,1
286.119845,38.811752,b'19042876+3848423',10.368,0.02,10.095,0.02,10.015,0.015,b'AAA',b'222',b'111',b'000',0,0,2MASS J19042876+3848423,2100051236074556032,3730801,1
286.119845,38.811752,b'19042876+3848423',10.368,0.02,10.095,0.02,10.015,0.015,b'AAA',b'222',b'111',b'000',0,0,2MASS J19042876+3848423,2100051236074556800,3730801,0
286.119845,38.811752,b'19042876+3848423',10.368,0.02,10.095,0.02,10.015,0.015,b'AAA',b'222',b'111',b'000',0,0,2MASS J19042876+3848423,2100051236074556032,3730801,1
286.119845,38.811752,b'19042876+3848423',10.368,0.02,10.095,0.02,10.015,0.015,b'AAA',b'222',b'111',b'000',0,0,2MASS J19042876+3848423,2100051236074556800,3730801,0
287.258046,38.899895,b'19090193+3853596',7.533,0.018,7.38,0.021,7.374,0.021,b'AAA',b'111',b'111',b'000',0,0,2MASS J19090193+3853596,2099622392180275200,3733735,1
288.069329,38.817684,b'19121663+3849036',8.732,0.027,8.505,0.021,8.477,0.018,b'AAA',b'112',b'111',b'000',0,0,2MASS J19121663+3849036,2099574421688108928,3735871,1
295.174939,38.802288,b'19404198+3848082',9.881,0.024,9.635,0.02,9.584,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19404198+3848082,2052144930345531904,3761840,1
292.639632,38.913975,b'19303351+3854503',10.003,0.022,9.706,0.022,9.634,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19303351+3854503,2053087619817933952,3854781,1
287.992453,39.03709,b'19115818+3902135',9.547,0.02,9.216,0.022,9.131,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19115818+3902135,2099684961263219840,3942719,1
290.936175,39.000675,b'19234468+3900024',9.565,0.018,9.31,0.021,9.248,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19234468+3900024,2052957125834988672,3952307,1
291.020405,39.016445,b'19240489+3900592',9.303,0.018,9.048,0.021,9.001,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19240489+3900592,2052957744310350976,3952580,1
294.967393,39.047668,b'19395217+3902516',9.557,0.02,9.254,0.02,9.231,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19395217+3902516,2052163587683475328,3967859,1
285.516929,39.114582,b'19020406+3906524',10.224,0.02,9.762,0.02,9.682,0.016,b'AAA',b'222',b'111',b'000',0,0,2MASS J19020406+3906524,2100240730030703360,4038445,1
285.516929,39.114582,b'19020406+3906524',10.224,0.02,9.762,0.02,9.682,0.016,b'AAA',b'222',b'111',b'000',0,0,2MASS J19020406+3906524,2100240730029616128,4038445,0
285.516929,39.114582,b'19020406+3906524',10.224,0.02,9.762,0.02,9.682,0.016,b'AAA',b'222',b'111',b'000',0,0,2MASS J19020406+3906524,2100240730030703360,4038445,1
285.516929,39.114582,b'19020406+3906524',10.224,0.02,9.762,0.02,9.682,0.016,b'AAA',b'222',b'111',b'000',0,0,2MASS J19020406+3906524,2100240730029616128,4038445,0
289.449873,39.187126,b'19174796+3911136',10.367,0.018,10.054,0.018,9.993,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19174796+3911136,2100955000274545536,4049576,1
293.430948,39.151775,b'19334342+3909063',10.213,0.022,9.773,0.019,9.71,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19334342+3909063,2052355658620129536,4064447,1
295.418044,39.172958,b'19414033+3910226',8.137,0.03,7.651,0.024,7.535,0.024,b'AAA',b'111',b'111',b'000',0,0,2MASS J19414033+3910226,2076176303158238464,4072740,1
