id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,jmag,jmag_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC1435467,6433.0,86.0,4.111702876518821,0.007872909411759912,-0.028,0.099,0.007337584408721481,3.017258342924623e-05,7.983,0.024,7.718,0.017,292.0826387546914,37.05987401545169,kmag,green19,using DR13 feh and SDSS teff
KIC2010607,6361.0,71.0,3.797904688958752,0.09440945382251184,-0.07,0.1,0.001628592276149511,2.6386132806215326e-05,10.427,0.02,10.155,0.019,290.50559137541734,37.45893516017856,kmag,green19,using DR13 feh and SDSS teff
KIC2309595,5238.0,65.0,3.73482452122853,0.009082592457477721,-0.095,0.101,0.0025978996763661847,2.7855535546288746e-05,10.04,0.022000000000000002,9.5,0.018000000000000002,292.9014487360415,37.62450961132608,kmag,green19,using DR13 feh and SDSS teff
KIC2450729,6029.0,59.0,3.9794846534812183,0.047620417616860776,-0.212,0.1,0.003686056444792692,2.9286424557973688e-05,9.585,0.02,9.283,0.018000000000000002,293.0736309167399,37.71658174566087,kmag,green19,using DR13 feh and SDSS teff
KIC2837475,6688.0,57.0,4.1916623899935095,0.006725678189074983,-0.015,0.1,0.008297790541507515,2.8966141777005033e-05,7.649,0.021,7.4639999999999995,0.027000000000000003,287.54857383346314,38.082133584002044,kmag,green19,using DR13 feh and SDSS teff
KIC2849125,6158.0,56.0,3.820493711685868,0.017029503197412046,0.293,0.101,0.0016848882360613964,2.5075703269819563e-05,10.327,0.021,10.037,0.018000000000000002,290.7306604068038,38.08566498955752,kmag,green19,using DR13 feh and SDSS teff
KIC2852862,6417.0,58.0,3.9633404353691017,0.008613694293074544,-0.155,0.1,0.0026223523626434137,2.3537137303475008e-05,9.772,0.021,9.511000000000001,0.018000000000000002,291.52574513998627,38.04342678382253,kmag,green19,using DR13 feh and SDSS teff
KIC2991448,5836.0,70.0,3.99575897076037,0.008652569044245325,-0.085,0.1,0.0035872019531703637,2.9688377756963982e-05,9.602,0.026000000000000002,9.225,0.021,291.8246955697834,38.113118330002926,kmag,green19,using DR13 feh and SDSS teff
KIC2998253,6333.0,54.0,4.242946067687462,0.05229578387085538,0.057,0.1,0.003963774677866837,2.4479853933468452e-05,9.655,0.02,9.396,0.018000000000000002,293.29146028171164,38.107248884604296,kmag,green19,using DR13 feh and SDSS teff
KIC3112152,6282.0,59.0,4.0528302853444345,0.019802860166227967,-0.136,0.1,0.002128475534915428,2.3514654637248268e-05,10.765999999999998,0.019,10.442,0.018000000000000002,290.34301932049607,38.286899144920675,kmag,green19,using DR13 feh and SDSS teff
KIC3112889,6433.0,65.0,3.9113769620187253,0.033070248564446965,-0.358,0.102,0.002339925816955447,3.0353271541793525e-05,10.208,0.021,9.925,0.018000000000000002,290.5380106789846,38.24198422575043,kmag,green19,using DR13 feh and SDSS teff
KIC3115178,5046.0,85.0,3.550685577135277,0.00961508286076165,0.08,0.1,0.002230802699163827,2.3389227326496412e-05,10.011000000000001,0.021,9.421,0.018000000000000002,291.11691830325594,38.213817615945956,kmag,green19,using DR13 feh and SDSS teff
KIC3223000,6198.0,47.0,4.373493378541221,0.0951673016083112,-0.185,0.1,0.008064882276846326,7.006927110081627e-05,8.455,0.021,8.156,0.034,287.9627852603288,38.39566597017495,kmag,green19,using DR13 feh and SDSS teff
KIC3241581,5770.0,81.0,4.395812239638242,0.06140908468813638,0.185,0.1,0.007733148039824818,3.8620954055524035e-05,9.101,0.022000000000000002,8.711,0.018000000000000002,293.0853050465206,38.34166868111962,kmag,green19,using DR13 feh and SDSS teff
KIC3329196,5161.0,65.0,3.5618393625353284,0.031500330111927426,-0.313,0.101,0.003687585299183595,2.104483439160869e-05,8.982000000000001,0.026000000000000002,8.478,0.018000000000000002,287.6139781083662,38.48114279439915,kmag,green19,using DR13 feh and SDSS teff
KIC3424541,6475.0,66.0,3.858789954073902,0.007473461423642778,0.27,0.1,0.003198730322999267,2.8134528388818565e-05,8.863,0.019,8.613999999999999,0.024,285.17906527017163,38.57362018548515,kmag,green19,using DR13 feh and SDSS teff
KIC3427720,6023.0,51.0,4.392383314912422,0.010145369969869795,-0.037000000000000005,0.1,0.010707861664233377,2.632074417220617e-05,8.094,0.02,7.8260000000000005,0.017,286.4382560026279,38.52262835693347,kmag,green19,using DR13 feh and SDSS teff
KIC3429205,5116.0,62.0,3.490777506478977,0.007272726519643902,-0.046,0.1,0.0034410391191519504,2.3558042629147076e-05,8.716000000000001,0.037000000000000005,8.183,0.02,287.0070337616333,38.52538571912825,kmag,green19,using DR13 feh and SDSS teff
KIC3430893,6270.0,60.0,4.1959868236154785,0.02302889003679052,-0.11,0.1,0.003481765864196545,2.3377313744692613e-05,9.836,0.021,9.519,0.017,287.62135117974776,38.538486509213726,kmag,green19,using DR13 feh and SDSS teff
