id_starname,logg,logg_err,feh,feh_err,parallax,parallax_err,jmag,jmag_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC1435467,4.100811857493968,0.008677572714604875,0.0059511,0.01178257,0.007337584408721481,3.017258342924623e-05,7.983,0.024,7.718,0.017,292.0826387546914,37.05987401545169,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC2010607,3.795139377742432,0.09449826049378326,0.082442,0.01276539,0.001628592276149511,2.6386132806215326e-05,10.427,0.02,10.155,0.019,290.50559137541734,37.45893516017856,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC2309595,3.728419675151794,0.009547584244001569,-0.05315955,0.0073734983,0.0025978996763661847,2.7855535546288746e-05,10.04,0.022000000000000002,9.5,0.018000000000000002,292.9014487360415,37.62450961132608,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC2450729,3.9739305825954783,0.04779215941599355,-0.198999,0.011503393999999998,0.003686056444792692,2.9286424557973688e-05,9.585,0.02,9.283,0.018000000000000002,293.0736309167399,37.71658174566087,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC2837475,4.183049732519287,0.008128803463591187,0.00218411,0.0154638905,0.008297790541507515,2.8966141777005033e-05,7.649,0.021,7.4639999999999995,0.027000000000000003,287.54857383346314,38.082133584002044,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC2849125,3.816627830750356,0.01773154589835006,0.29191100000000003,0.012119558,0.0016848882360613964,2.5075703269819563e-05,10.327,0.021,10.037,0.018000000000000002,290.7306604068038,38.08566498955752,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC2852862,3.9550546386081074,0.009640638787808643,-0.08340900400000001,0.013146168,0.0026223523626434137,2.3537137303475008e-05,9.772,0.021,9.511000000000001,0.018000000000000002,291.52574513998627,38.04342678382253,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC2991448,3.9859705575524735,0.009309106061843354,-0.091143005,0.009065969,0.0035872019531703637,2.9688377756963982e-05,9.602,0.026000000000000002,9.225,0.021,291.8246955697834,38.113118330002926,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC2998253,4.238894506966978,0.05247481134454518,0.073254995,0.012156838,0.003963774677866837,2.4479853933468452e-05,9.655,0.02,9.396,0.018000000000000002,293.29146028171164,38.107248884604296,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3112152,4.042701266524388,0.020221513076358458,-0.0082290005,0.01086914,0.002128475534915428,2.3514654637248268e-05,10.765999999999998,0.019,10.442,0.018000000000000002,290.34301932049607,38.286899144920675,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3112889,3.9009451130528734,0.03334081098873665,-0.199819,0.013766408,0.002339925816955447,3.0353271541793525e-05,10.208,0.021,9.925,0.018000000000000002,290.5380106789846,38.24198422575043,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3115178,3.5437082392895736,0.00967577113544288,0.12461845,0.006134064,0.002230802699163827,2.3389227326496412e-05,10.011000000000001,0.021,9.421,0.018000000000000002,291.11691830325594,38.213817615945956,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3223000,4.367006472312776,0.09526676755670642,-0.14458900000000002,0.012144138,0.008064882276846326,7.006927110081627e-05,8.455,0.021,8.156,0.034,287.9627852603288,38.39566597017495,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3241581,4.389115242203755,0.06147603672402473,0.21910100000000002,0.0073027927000000005,0.007733148039824818,3.8620954055524035e-05,9.101,0.022000000000000002,8.711,0.018000000000000002,293.0853050465206,38.34166868111962,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3329196,3.553764348658376,0.031637935341764324,-0.27817154,0.007747571,0.003687585299183595,2.104483439160869e-05,8.982000000000001,0.026000000000000002,8.478,0.018000000000000002,287.6139781083662,38.48114279439915,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3424541,3.8532970635736503,0.008541684886142039,0.279711,0.01144149,0.003198730322999267,2.8134528388818565e-05,8.863,0.019,8.613999999999999,0.024,285.17906527017163,38.57362018548515,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3427720,4.390080811577168,0.010963291573225993,-0.0044067,0.010571108000000001,0.010707861664233377,2.632074417220617e-05,8.094,0.02,7.8260000000000005,0.017,286.4382560026279,38.52262835693347,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3429205,3.487446604382167,0.007848839382371997,-0.02849155,0.0070922924,0.0034410391191519504,2.3558042629147076e-05,8.716000000000001,0.037000000000000005,8.183,0.02,287.0070337616333,38.52538571912825,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3430893,4.187437827028575,0.023392503287015358,-0.020307,0.011217651,0.003481765864196545,2.3377313744692613e-05,9.836,0.021,9.519,0.017,287.62135117974776,38.538486509213726,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3437637,3.8578289973445554,0.024370235894041737,-0.135479,0.008984596999999999,0.002677070740577992,2.9209311975746182e-05,10.14,0.027000000000000003,9.682,0.018000000000000002,289.76039294023775,38.575285918186395,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3438633,3.947594297878366,0.017936895681940894,-0.172179,0.01425861,0.002346962642649052,2.779121561906524e-05,10.184,0.019,9.922,0.017,290.02825727825206,38.59797388242753,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3545753,3.8294444668627454,0.03894902603752673,-0.23054154,0.020204782,0.0021695310623933667,2.3641097556435684e-05,9.987,0.021,9.675,0.018000000000000002,291.7271257694145,38.689477715274045,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3630240,3.3227538930686635,0.012179247566593108,-0.5829715999999999,0.009947002,0.0017076015186085903,2.6273681416432124e-05,10.265999999999998,0.022000000000000002,9.73,0.017,286.51700433122045,38.72657875626482,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3632418,3.8010753109724513,0.02156491450745548,-0.091896005,0.013178114,0.009235910602542276,3.230708740761089e-05,7.229,0.032,6.945,0.018000000000000002,287.36196731685897,38.71413838052882,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3633847,4.0155489850677615,0.03428916148996044,0.164461,0.010259906,0.0035613612598080968,5.6342212231332684e-05,9.265,0.022000000000000002,8.972000000000001,0.018000000000000002,287.8961603529516,38.74379584761459,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3633889,4.269384366084446,0.014418293760058591,-0.116549,0.014764656999999999,0.005195750046215034,2.521205806241453e-05,9.212,0.022000000000000002,8.946,0.018000000000000002,287.9141350847669,38.73456885165679,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3642422,3.6168921232367817,0.04353397140031685,0.03989845,0.0073691574,0.00273427257562015,5.0669349385215325e-05,8.977,0.021,8.493,0.018000000000000002,290.5399483790872,38.760306531400225,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3643774,4.149764603874357,0.015797413083817085,0.212721,0.00911323,0.005358582286245501,2.6679888179404904e-05,8.89,0.02,8.572000000000001,0.017,290.9470668778781,38.77706175365137,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3656476,4.22600216715159,0.007973210340193285,0.24156100000000003,0.0071110222,0.008735325993096062,2.5428765949993292e-05,8.382,0.024,8.008,0.017,294.2039287839221,38.71591251963522,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3657002,4.157426171428252,0.02645048722551615,0.135811,0.009349362,0.006061532772919417,2.9322508029842923e-05,8.737,0.023,8.427,0.02,294.33265110237653,38.74471821259211,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3661135,3.942929655483717,0.014505008628794232,0.00360985,0.00850113,0.003458845974828332,3.357828480433447e-05,9.65,0.021,9.241,0.017,295.26355752691325,38.74576478606007,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3730801,4.1209504824515655,0.0168903851411121,0.192991,0.00979722,0.002751533518299869,2.253401401133213e-05,10.368,0.02,10.015,0.015,286.11974867103766,38.81169925578071,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3733735,4.297973478255522,0.00960666377739414,-0.005684399999999999,0.017406479,0.00977741180592977,2.7185261446399504e-05,7.5329999999999995,0.018000000000000002,7.374,0.021,287.2581560064136,38.899730155758455,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3735871,4.405951081075005,0.012131043020856998,-0.0036517002,0.010956451,0.008213453724282702,2.613130909246497e-05,8.732000000000001,0.027000000000000003,8.477,0.018000000000000002,288.06919662698033,38.81757141752832,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3854781,4.016246389661782,0.01375104106602202,0.308321,0.007137720500000001,0.0030444461630352738,2.8633967065165162e-05,10.003,0.022000000000000002,9.634,0.018000000000000002,292.63968809497464,38.91403197192479,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3942719,3.8382811802175607,0.012793897063195937,-0.31225154,0.013612909,0.0030784353656663965,4.543535908389475e-05,9.547,0.02,9.131,0.018000000000000002,287.9924951449109,39.03704189015113,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3952307,3.887471799368021,0.029301506142647763,0.0061256,0.010908351,0.0029424392644576062,2.909528476433522e-05,9.565,0.018000000000000002,9.248,0.018000000000000002,290.9361423530763,39.000647146137226,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3952580,3.7589625889859377,0.014179904069248,0.038933999999999996,0.011734356000000001,0.0024639781261735355,2.879345337855644e-05,9.302999999999999,0.018000000000000002,9.001,0.018000000000000002,291.0203567708545,39.01637935472562,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC3967859,4.150486753081653,0.05636003505610813,-0.33564898,0.012734026,0.0050341271473956116,3.73243279342521e-05,9.557,0.02,9.231,0.017,294.9674846394449,39.047628649549814,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4038445,3.612187253980105,0.009470078549182909,-0.7108315,0.010053649,0.00218192107358911,3.089348110191545e-05,10.224,0.02,9.682,0.016,285.51669653815065,39.11428328468201,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4049576,3.9304610180428927,0.057507221835717125,-0.164929,0.01168288,0.002236214393130909,2.236139873118517e-05,10.367,0.018000000000000002,9.993,0.018000000000000002,289.4498097716263,39.186912651602036,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4064447,3.381524970696168,0.033286312250529554,-0.16101155,0.012491538,0.0012157423711984556,2.5501089231828112e-05,10.213,0.022000000000000002,9.71,0.018000000000000002,293.43099672892595,39.15178435155021,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4072740,3.327875085125988,0.008010869786033558,0.18293846,0.005921165999999999,0.003884245372439582,2.4153183290274896e-05,8.137,0.03,7.535,0.024,295.41806747291224,39.17299444806633,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4165030,3.974200530176075,0.01639863776656867,-0.39158154,0.018652901,0.002886185550076736,2.217419048010064e-05,10.359000000000002,0.021,9.943,0.018000000000000002,293.3704352611008,39.26274754821213,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4243623,3.6085698364005983,0.01128434513707123,-0.31921154,0.007908848000000001,0.002879974159301737,2.576420885559036e-05,9.769,0.021,9.149,0.017,285.50848678159235,39.35136088740829,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4247542,4.0443747421414855,0.059053368207708824,-0.408469,0.017105486,0.0023469985692470617,2.1224471998963286e-05,10.564,0.023,10.264000000000001,0.018000000000000002,287.06838862459057,39.35524847951939,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4346201,3.9356333058928112,0.02043400492023525,-0.239279,0.012638723999999999,0.0039291205032288105,9.378442577607279e-05,8.956,0.021,8.609,0.02,285.2860172897109,39.49827279019023,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4347652,3.330179592899793,0.0512467661394664,0.07333545400000001,0.0065362373999999996,0.001767942857225425,2.853839660367949e-05,9.735,0.021,9.17,0.017,285.9073487836037,39.40626202089854,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4351319,3.4979661533725275,0.007985663270269427,0.25916845,0.0057708722999999995,0.0038622168492948978,2.238460893615121e-05,8.472999999999999,0.027000000000000003,7.909,0.02,287.39870343931386,39.49752934960674,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4378838,3.5107569772944087,0.013168555402007624,0.30731845,0.0057294755,0.002238465924435421,2.650162278754133e-05,9.537,0.022000000000000002,8.93,0.017,295.00919840487165,39.46422226170151,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4446300,3.8566409706473923,0.016275494582228812,-0.01181555,0.008621089,0.004060480389967332,2.7243598374366227e-05,9.33,0.021,8.838,0.017,285.35843473482487,39.565502910072155,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4450844,4.08111159871286,0.00901357439039647,-0.185499,0.010763436000000001,0.004483143542281449,2.266878593626859e-05,9.424,0.021,9.033,0.023,287.3148859026392,39.53831763368832,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4457351,3.9676204652853646,0.017073432292945553,-0.273469,0.009474037,0.0033188668191208495,3.5356781903282225e-05,9.847000000000001,0.018000000000000002,9.424,0.016,289.5538465014463,39.56550614915529,kmag,green19,using APOGEE DR16 feh and IRFM teff
KIC4465324,4.1858491563541405,0.01822325265404876,0.078705,0.011014817,0.0034378864532094936,2.8408566679834886e-05,10.283,0.027000000000000003,9.902000000000001,0.019,291.8913898051817,39.58118129190865,kmag,green19,using APOGEE DR16 feh and IRFM teff
