id_starname,teff,teff_err,logg,logg_err,feh,feh_err,lum,lum_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,gamag,gamag_err,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,bmag,bmag_err,vmag,vmag_err,btmag,btmag_err,vtmag,vtmag_err,numax,numax_err,dnu,dnu_err,dmag,dmag_err,ra,dec,band,dir_dis,dir_dis_err1,dir_dis_err2,dir_avs,dir_avs_err1,dir_avs_err2,dir_rad,dir_rad_err1,dir_rad_err2,dir_lum,dir_lum_err1,dir_lum_err2,dir_teff,dir_teff_err1,dir_teff_err2,dir_mabs,dir_mabs_err1,dir_mabs_err2,dir_mass,dir_mass_err1,dir_mass_err2,dir_rho,dir_rho_err1,dir_rho_err2
KIC5950854,5802.1133,120.94239,4.233009478728791,0.00963336462955284,-0.220939,0.011169639,-99,0,-99,0,-99,0,-99,0,-99,0,9.857,0.021,-99,0,9.547,0.019,-99,0,-99,0,-99,0,0.00435470296963703,2.7379627657518224e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,288.78362158579137,41.29887104678695,kmag,229.66627666276662,1.4376935769357715,-1.4237542375423686,0.1528775993914605,0.0,-0.0,1.2996676348153617,0.059993135192474734,-0.05659210119751856,1.719348588748177,0.05930530421781577,-0.056855437712735046,5802.1133,120.94239,-120.94239,2.7263444258287732,0.036510179209960913,-0.03681877684866519,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC7799349,4969.468,87.24622,3.6706640610173698,0.007817825974617108,0.23765846,0.0060181054,-99,0,-99,0,-99,0,-99,0,-99,0,8.06,0.026,-99,0,7.518,0.016,-99,0,-99,0,-99,0,0.005484198170389129,2.031819537153801e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,281.0531989805502,43.53386218210304,kmag,182.34917349173492,0.6708067080670901,-0.6676866768667651,0.0,0.0,-0.0,2.8372004163846967,0.11072040553303086,-0.10605622234506784,4.408238988957445,0.13827355478076786,-0.13282567188806116,4969.468,87.24622,-87.24622,1.213493285927628,0.03321756435681422,-0.03353315561016457,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC12069569,6126.0635,140.02168,3.827979802126693,0.06090329297876746,-0.04928,0.013496189,-99,0,-99,0,-99,0,-99,0,-99,0,10.286,0.021,-99,0,10.039,0.014,-99,0,-99,0,-99,0,0.0018195899586133692,2.49174053834781e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,295.5290266410778,50.52748469031018,kmag,549.9173791737917,7.557705577055799,-7.374824948249511,0.21402865281636801,0.0,-0.0,2.4117582222765668,0.1237695607552558,-0.11638505189473225,7.356337011557461,0.29986253929876927,-0.2860991371073327,6126.0635,140.02168,-140.02168,1.3162894969454781,0.04306897861810666,-0.043379068121849995,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC5822889,5141.999,95.52871,3.3999393468027077,0.01219234599496685,-0.08265655,0.0077440105,-99,0,-99,0,-99,0,-99,0,-99,0,9.633,0.021,-99,0,9.056,0.017,-99,0,-99,0,-99,0,0.0017023897464350573,3.761170123830725e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,299.49272568872027,41.06972572969498,kmag,588.3867038670387,13.1767217672176,-12.645556455564588,0.1528775993914605,0.0,-0.0,4.472981105562301,0.21031346331533562,-0.19943591948499861,12.557072067836085,0.6922187665248671,-0.6510321045952097,5141.999,95.52871,-95.52871,0.19233663680672838,0.05780262705565617,-0.05826061649373146,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC6947945,5336.544,101.841225,3.7941489275048967,0.010977811184577541,-0.07018055,0.008910153,-99,0,-99,0,-99,0,-99,0,-99,0,9.774,0.02,-99,0,9.328,0.015,-99,0,-99,0,-99,0,0.00286682557917845,3.7864732785466064e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,291.6013069926766,42.48449151948921,kmag,349.0285452854529,4.6240712407123965,-4.516970169701722,0.1528775993914605,0.0,-0.0,2.2883047182467235,0.1009515570576438,-0.09569564115523965,3.8133721532818514,0.154111904717948,-0.14732739218506152,5336.544,101.841225,-101.841225,1.5985084769823983,0.04277856904643951,-0.04301499876741022,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC8016496,6312.3535,153.43712,3.980643806457938,0.042789088195113074,0.08806,0.015366518,-99,0,-99,0,-99,0,-99,0,-99,0,10.41,0.024,-99,0,10.183,0.016,-99,0,-99,0,-99,0,0.0020461776923544955,4.8709689947734637e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,286.8507207026495,43.8087075996628,kmag,489.6841268412684,11.842718427184309,-11.326153261532568,0.2751796834607367,0.0,-0.0,1.9791504622057583,0.11454193304676386,-0.10736216569837675,5.582789574553756,0.3230925115256982,-0.30212681837664235,6312.3535,153.43712,-153.43712,1.7059981192396787,0.060407065468686794,-0.06108378248296509,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC10070754,6377.6904,146.60144,4.2977667795542684,0.047090392703121146,-0.214199,0.017159715,-99,0,-99,0,-99,0,-99,0,-99,0,9.413,0.025,-99,0,9.175,0.014,-99,0,-99,0,-99,0,0.004921467727232712,2.401550863486203e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,290.07588942284303,47.041092055974865,kmag,203.20628206282063,0.9856898568985741,-0.9789025890259211,0.1528775993914605,0.0,-0.0,1.295863753028729,0.06462230652198775,-0.06059868528421375,2.495183373431854,0.07783990875483404,-0.07470016749503872,6377.6904,146.60144,-146.60144,2.620234471160234,0.03300098533718154,-0.0333531203016908,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC6802438,5290.4023,101.6666,3.682717623464401,0.012798538175965312,-0.20454155,0.009137689,-99,0,-99,0,-99,0,-99,0,-99,0,9.367,0.02,-99,0,8.87,0.012,-99,0,-99,0,-99,0,0.002963907738634712,2.627199945789874e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,298.0107424770336,42.20221306720447,kmag,337.48056480564804,2.986119861198574,-2.9422262222622635,0.12230208406927617,0.0,-0.0,2.747148810945215,0.11798600952259042,-0.11198065563950221,5.3082232180510145,0.18114808031067753,-0.1726367085663547,5290.4023,101.6666,-101.6666,1.2167572382907899,0.03589781975150852,-0.036433574964847004,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC11070918,6539.8057,149.83016999999995,3.813632612714252,0.021614639436806384,0.104061,0.016102022,-99,0,-99,0,-99,0,-99,0,-99,0,8.808,0.044,-99,0,8.597999999999999,0.018000000000000002,-99,0,-99,0,-99,0,0.004442705942242375,3.0226381695346284e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,284.22234557922815,48.693965543343886,kmag,225.12222122221223,1.5255752557525568,-1.509375093750947,0.0,0.0,-0.0,1.8256073505123305,0.0917316278695759,-0.08593549312860382,5.475832520227783,0.18827988538984375,-0.18067637241585377,6539.8057,149.83016999999995,-149.83016999999995,1.8358638119158361,0.03642846299560709,-0.03670426696737672,0.0,0.0,-0.0,0.0,0.0,-0.0
KIC3112152,5995.7,126.27594,4.042701266524388,0.020221513076358458,-0.0082290005,0.01086914,-99,0,-99,0,-99,0,-99,0,-99,0,10.765999999999998,0.019,-99,0,10.442,0.018000000000000002,-99,0,-99,0,-99,0,0.0021284755349154283,2.351465463724827e-05,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,-99,0,290.34301932049607,38.286899144920675,kmag,470.010190101901,5.196115961159649,-5.09691496914968,0.305755198782921,0.0,-0.0,1.73914968122109,0.08268816322656236,-0.07786369444792607,3.5099264995954123,0.13603918692781747,-0.13021788457629668,5995.7,126.27594,-126.27594,2.0512221491025526,0.04104690841064018,-0.04128638729564038,0.0,0.0,-0.0,0.0,0.0,-0.0
