KIC,numax,enumax,Dnu,eDnu,Length,HBR,Teff_SDSS,eTeff_SDSS,[M/H]_SDSS,e[M/H]_SDSS,Radius_SDSS,+eRad_SDSS,-eRad_SDSS,syRad_SDSS,Mass_SDSS,+eMas_SDSS,-eMas_SDSS,syMas_SDSS,logg_SDSS,+elogg_SDSS,-elogg_SDSS,sylogg_SDSS,rho_SDSS,+erho_SDSS,-erho_SDSS,syrho_SDSS,Age_SDSS,+eAge_SDSS,-eAge_SDSS,syAge_SDSS,Teff_ASPC,eTeff_ASPC,[M/H]_ASPC,e[M/H]_ASPC,Radius_ASPC,+eRad_ASPC,-eRad_ASPC,syRad_ASPC,Mass_ASPC,+eMas_ASPC,-eMas_ASPC,syMas_ASPC,logg_ASPC,+elogg_ASPC,-elogg_ASPC,sylogg_ASPC,rho_ASPC,+erho_ASPC,-erho_ASPC,syrho_ASPC,Age_ASPC,+eAge_ASPC,-eAge_ASPC,syAge_ASPC
1435467,1382.3110000000001,19.038,70.558,0.087,938.1,1.662,6433.0,86.0,-0.027999999999999997,0.099,1.693,0.015,-0.016,0.01,1.344,0.039,-0.036000000000000004,0.022000000000000002,4.109,0.006,-0.006,0.002,0.2777,0.002376,-0.002391,0.001505,2.605,0.302,-0.293,0.215,6096.7,69.27600000000001,-0.027999999999999997,0.099,1.676,0.012,-0.011000000000000001,0.013000000000000001,1.2770000000000001,0.03,-0.026000000000000002,0.031,4.095,0.005,-0.005,0.004,0.2711,0.0011380000000000001,-0.001015,0.001526,3.7460000000000004,0.349,-0.324,0.496
2010607,674.919,146.523,42.479,2.185,28.9,1.547,6361.0,71.0,-0.07,0.1,2.41,0.1,-0.09,0.035,1.402,0.067,-0.051,0.047,3.819,0.027000000000000003,-0.027000000000000003,0.003,0.09973,0.009867,-0.009399,0.001393,2.755,0.29600000000000004,-0.301,0.184,6013.5,69.27600000000001,-0.07,0.1,2.39,0.10400000000000001,-0.095,0.027999999999999997,1.325,0.057999999999999996,-0.05,0.043,3.802,0.026000000000000002,-0.027000000000000003,0.006,0.09667,0.009696,-0.009474,0.0015119999999999999,3.5439999999999996,0.396,-0.39,0.33299999999999996
2309595,643.2080000000001,11.225999999999999,39.029,0.721,28.9,1.767,5238.0,65.0,-0.095,0.10099999999999999,2.423,0.076,-0.073,0.022000000000000002,1.167,0.084,-0.077,0.023,3.736,0.008,-0.008,0.002,0.08183,0.002543,-0.002494,0.0007097000000000001,5.46,1.351,-1.023,0.42200000000000004,5000.2,69.27600000000001,-0.095,0.10099999999999999,2.3,0.08,-0.073,0.063,1.022,0.08199999999999999,-0.073,0.07,3.7230000000000003,0.008,-0.008,0.006999999999999999,0.0839,0.002592,-0.002614,0.001254,9.537,2.667,-2.1959999999999997,2.517
2450729,1053.105,114.904,61.91,2.539,28.9,1.47,6029.0,59.0,-0.212,0.1,1.758,0.059000000000000004,-0.055999999999999994,0.023,1.112,0.051,-0.051,0.03,3.9939999999999998,0.02,-0.021,0.006,0.2043,0.01594,-0.014980000000000002,0.002889,6.034,0.804,-0.718,0.55,5840.4,69.27600000000001,-0.212,0.1,1.725,0.06,-0.055999999999999994,0.027999999999999997,1.047,0.052000000000000005,-0.051,0.042,3.984,0.02,-0.021,0.006999999999999999,0.2035,0.01564,-0.01573,0.002757,7.724,1.051,-0.953,1.2209999999999999
2837475,1629.761,18.396,75.72,0.129,1029.4,1.767,6688.0,57.0,-0.015,0.1,1.71,0.022000000000000002,-0.043,0.039,1.665,0.054000000000000006,-0.133,0.091,4.1930000000000005,0.008,-0.011000000000000001,0.006,0.3319,0.0025629999999999997,-0.0028350000000000003,0.006215999999999999,1.131,0.19699999999999998,-0.18100000000000002,0.221,6335.4,69.27600000000001,-0.015,0.1,1.726,0.065,-0.013999999999999999,0.067,1.672,0.2,-0.040999999999999995,0.195,4.185,0.019,-0.006999999999999999,0.02,0.3245,0.002867,-0.002731,0.003638,1.804,0.313,-0.285,0.529
2849125,722.576,27.254,41.321999999999996,1.97,24.9,1.624,6158.0,56.0,0.293,0.10099999999999999,2.5340000000000003,0.115,-0.08900000000000001,0.027999999999999997,1.534,0.193,-0.071,0.038,3.82,0.015,-0.015,0.002,0.09451,0.005343,-0.005109000000000001,0.001265,2.583,0.29100000000000004,-0.8009999999999999,0.107,6074.4,69.27600000000001,0.293,0.10099999999999999,2.506,0.096,-0.069,0.039,1.4969999999999999,0.1,-0.054000000000000006,0.055999999999999994,3.815,0.015,-0.015,0.006,0.09494,0.005243,-0.005095000000000001,0.001103,2.793,0.249,-0.462,0.317
2852862,983.5219999999999,16.419,53.556000000000004,0.149,523.7,1.411,6417.0,58.0,-0.155,0.1,2.0869999999999997,0.019,-0.021,0.026000000000000002,1.4580000000000002,0.032,-0.028999999999999998,0.052000000000000005,3.9619999999999997,0.005,-0.006999999999999999,0.004,0.1604,0.001431,-0.001359,0.0009176999999999999,2.261,0.262,-0.156,0.302,6008.1,69.27600000000001,-0.155,0.1,2.009,0.016,-0.02,0.04,1.254,0.032,-0.036000000000000004,0.07200000000000001,3.929,0.005,-0.005,0.008,0.1544,0.00107,-0.0009576000000000001,0.0009736,4.507,0.391,-0.33899999999999997,0.9990000000000001
2991448,1111.248,18.148,61.732,0.899,92.6,1.609,5836.0,70.0,-0.085,0.1,1.757,0.033,-0.034,0.024,1.113,0.047,-0.05,0.024,3.9939999999999998,0.006999999999999999,-0.006999999999999999,0.003,0.2051,0.004602,-0.004536999999999999,0.002813,6.882000000000001,0.8959999999999999,-0.813,0.456,5576.0,69.27600000000001,-0.085,0.1,1.712,0.033,-0.034,0.028999999999999998,1.03,0.045,-0.046,0.049,3.983,0.006999999999999999,-0.006999999999999999,0.006,0.2051,0.004721,-0.004561,0.002617,9.407,1.111,-1.002,1.26
2998253,1884.7379999999998,226.07,87.227,5.653,31.0,1.0490000000000002,6333.0,54.0,0.057,0.1,1.425,0.062,-0.055999999999999994,0.017,1.262,0.040999999999999995,-0.045,0.043,4.23,0.028999999999999998,-0.03,0.005,0.4347,0.04684,-0.03082,0.002311,2.6239999999999997,0.451,-0.425,0.597,6235.8,69.27600000000001,0.057,0.1,1.416,0.062,-0.055999999999999994,0.021,1.234,0.046,-0.053,0.054000000000000006,4.225,0.028999999999999998,-0.03,0.006999999999999999,0.4318,0.03398,-0.055929999999999994,0.0041789999999999996,3.141,0.675,-0.532,0.9179999999999999
3112152,1221.493,54.117,65.13,2.122,26.1,1.2309999999999999,6282.0,59.0,-0.136,0.1,1.7409999999999999,0.047,-0.046,0.031,1.251,0.084,-0.066,0.051,4.052,0.013999999999999999,-0.016,0.004,0.2361,0.01084,-0.01108,0.00228,3.778,0.715,-0.914,0.8590000000000001,5778.5,69.27600000000001,-0.136,0.1,1.6440000000000001,0.045,-0.043,0.025,1.041,0.054000000000000006,-0.05,0.039,4.024,0.013999999999999999,-0.013999999999999999,0.006,0.2341,0.0118,-0.0115,0.002913,8.392000000000001,1.1520000000000001,-1.074,1.325
