KIC,Teff,eTeff,[M/H],e[M/H],Radius,+eRad,-eRad,syRad,Mass,+eMas,-eMas,syMas,logg,+elogg,-elogg,sylogg,rho,+erho,-erho,syrho,Age,+eAge,-eAge,syAge
1435467,6096.7,69.27600000000001,-0.027999999999999997,0.099,1.676,0.012,-0.011000000000000001,0.013000000000000001,1.2770000000000001,0.03,-0.026000000000000002,0.031,4.095,0.005,-0.005,0.004,0.2711,0.0011380000000000001,-0.001015,0.001526,3.7460000000000004,0.349,-0.324,0.496
2010607,6013.5,69.27600000000001,-0.07,0.1,2.39,0.10400000000000001,-0.095,0.027999999999999997,1.325,0.057999999999999996,-0.05,0.043,3.802,0.026000000000000002,-0.027000000000000003,0.006,0.09667,0.009696,-0.009474,0.0015119999999999999,3.5439999999999996,0.396,-0.39,0.33299999999999996
2309595,5000.2,69.27600000000001,-0.095,0.10099999999999999,2.3,0.08,-0.073,0.063,1.022,0.08199999999999999,-0.073,0.07,3.7230000000000003,0.008,-0.008,0.006999999999999999,0.0839,0.002592,-0.002614,0.001254,9.537,2.667,-2.1959999999999997,2.517
2450729,5840.4,69.27600000000001,-0.212,0.1,1.725,0.06,-0.055999999999999994,0.027999999999999997,1.047,0.052000000000000005,-0.051,0.042,3.984,0.02,-0.021,0.006999999999999999,0.2035,0.01564,-0.01573,0.002757,7.724,1.051,-0.953,1.2209999999999999
2837475,6335.4,69.27600000000001,-0.015,0.1,1.726,0.065,-0.013999999999999999,0.067,1.672,0.2,-0.040999999999999995,0.195,4.185,0.019,-0.006999999999999999,0.02,0.3245,0.002867,-0.002731,0.003638,1.804,0.313,-0.285,0.529
2849125,6074.4,69.27600000000001,0.293,0.10099999999999999,2.506,0.096,-0.069,0.039,1.4969999999999999,0.1,-0.054000000000000006,0.055999999999999994,3.815,0.015,-0.015,0.006,0.09494,0.005243,-0.005095000000000001,0.001103,2.793,0.249,-0.462,0.317
2852862,6008.1,69.27600000000001,-0.155,0.1,2.009,0.016,-0.02,0.04,1.254,0.032,-0.036000000000000004,0.07200000000000001,3.929,0.005,-0.005,0.008,0.1544,0.00107,-0.0009576000000000001,0.0009736,4.507,0.391,-0.33899999999999997,0.9990000000000001
2991448,5576.0,69.27600000000001,-0.085,0.1,1.712,0.033,-0.034,0.028999999999999998,1.03,0.045,-0.046,0.049,3.983,0.006999999999999999,-0.006999999999999999,0.006,0.2051,0.004721,-0.004561,0.002617,9.407,1.111,-1.002,1.26
2998253,6235.8,69.27600000000001,0.057,0.1,1.416,0.062,-0.055999999999999994,0.021,1.234,0.046,-0.053,0.054000000000000006,4.225,0.028999999999999998,-0.03,0.006999999999999999,0.4318,0.03398,-0.055929999999999994,0.0041789999999999996,3.141,0.675,-0.532,0.9179999999999999
3112152,5778.5,69.27600000000001,-0.136,0.1,1.6440000000000001,0.045,-0.043,0.025,1.041,0.054000000000000006,-0.05,0.039,4.024,0.013999999999999999,-0.013999999999999999,0.006,0.2341,0.0118,-0.0115,0.002913,8.392000000000001,1.1520000000000001,-1.074,1.325
3112889,5871.4,69.27600000000001,-0.358,0.102,1.901,0.057999999999999996,-0.055,0.031,1.053,0.052000000000000005,-0.05,0.040999999999999995,3.9010000000000002,0.017,-0.017,0.006999999999999999,0.1527,0.009448,-0.009132,0.002337,6.87,0.85,-0.778,0.884
3115178,4843.7,69.27600000000001,0.08,0.1,2.835,0.129,-0.1,0.092,1.02,0.105,-0.078,0.079,3.5410000000000004,0.009000000000000001,-0.009000000000000001,0.005,0.044739999999999995,0.0016589999999999999,-0.0017920000000000002,0.0009253999999999999,10.74,3.1489999999999996,-3.0660000000000003,2.97
3223000,5851.5,69.27600000000001,-0.185,0.1,1.119,0.023,-0.023,0.021,0.941,0.05,-0.047,0.052000000000000005,4.314,0.012,-0.012,0.009000000000000001,0.671,0.02012,-0.019880000000000002,0.0050030000000000005,8.981,2.03,-1.665,2.148
3241581,5524.3,69.27600000000001,0.185,0.1,1.053,0.023,-0.023,0.019,0.972,0.044000000000000004,-0.045,0.055,4.38,0.015,-0.015,0.008,0.8334,0.042660000000000003,-0.03325,0.00577,8.876,2.209,-1.99,3.36
3329196,4843.7,69.27600000000001,-0.313,0.10099999999999999,2.61,0.087,-0.071,0.068,0.862,0.066,-0.04,0.059000000000000004,3.542,0.02,-0.021,0.006999999999999999,0.04857,0.003195,-0.0031190000000000002,0.0007552,14.52,1.694,-2.7260000000000004,2.035
3424541,6278.9,69.27600000000001,0.27,0.1,2.653,0.012,-0.013999999999999999,0.06,1.777,0.03,-0.032,0.124,3.839,0.005,-0.005,0.013999999999999999,0.09512000000000001,0.0008562999999999998,-0.0008089000000000001,0.001865,1.5230000000000001,0.129,-0.11599999999999999,0.535
3427720,5933.7,69.27600000000001,-0.037000000000000005,0.1,1.107,0.015,-0.015,0.013999999999999999,1.071,0.043,-0.043,0.042,4.379,0.006999999999999999,-0.006999999999999999,0.006,0.7888,0.001847,-0.0023309999999999997,0.006548,3.98,1.171,-1.1320000000000001,1.4
3429205,4913.5,69.27600000000001,-0.046,0.1,3.344,0.059000000000000004,-0.06,0.057,1.238,0.061,-0.059000000000000004,0.057999999999999996,3.4810000000000003,0.006999999999999999,-0.006999999999999999,0.005,0.0331,0.0003012,-0.0002996,0.0003577,5.038,1.121,-0.878,0.975
3430893,5847.3,69.27600000000001,-0.11,0.1,1.3840000000000001,0.049,-0.044000000000000004,0.035,1.0170000000000001,0.062,-0.055,0.063,4.163,0.018000000000000002,-0.019,0.006,0.3827,0.02605,-0.0237,0.005203,8.644,1.5759999999999998,-1.536,2.6260000000000003
3437637,5285.9,69.27600000000001,-0.255,0.102,1.964,0.073,-0.07,0.048,0.973,0.063,-0.063,0.061,3.839,0.016,-0.017,0.006999999999999999,0.1282,0.008228000000000001,-0.008043000000000002,0.001471,9.959,1.9780000000000002,-1.59,1.9909999999999999
3438633,6169.7,69.27600000000001,-0.184,0.1,1.9340000000000002,0.047,-0.048,0.026000000000000002,1.214,0.044000000000000004,-0.051,0.042,3.948,0.013999999999999999,-0.013999999999999999,0.005,0.1673,0.008542000000000001,-0.008388,0.0019309999999999998,4.446000000000001,0.581,-0.447,0.598
3545753,5780.0,69.27600000000001,-0.33799999999999997,0.105,2.2430000000000003,0.06,-0.06,0.027000000000000003,1.147,0.057,-0.054000000000000006,0.038,3.7939999999999996,0.013999999999999999,-0.013999999999999999,0.006999999999999999,0.1013,0.005246,-0.005032,0.001771,5.165,0.643,-0.578,0.504
3630240,4987.8,69.27600000000001,-0.613,0.10300000000000001,3.839,0.162,-0.14800000000000002,0.114,1.1059999999999999,0.11599999999999999,-0.102,0.084,3.312,0.011000000000000001,-0.012,0.006999999999999999,0.01952,0.0006339,-0.0006302,0.0002718,5.545,2.301,-1.6880000000000002,1.666
