KIC,Teff,eTeff,[M/H],e[M/H],Radius,+eRad,-eRad,syRad,Mass,+eMas,-eMas,syMas,logg,+elogg,-elogg,sylogg,rho,+erho,-erho,syrho,Age,+eAge,-eAge,syAge
1435467,6433.0,86.0,-0.027999999999999997,0.099,1.693,0.015,-0.016,0.01,1.344,0.039,-0.036000000000000004,0.022000000000000002,4.109,0.006,-0.006,0.002,0.2777,0.002376,-0.002391,0.001505,2.605,0.302,-0.293,0.215
2010607,6361.0,71.0,-0.07,0.1,2.41,0.1,-0.09,0.035,1.402,0.067,-0.051,0.047,3.819,0.027000000000000003,-0.027000000000000003,0.003,0.09973,0.009867,-0.009399,0.001393,2.755,0.29600000000000004,-0.301,0.184
2309595,5238.0,65.0,-0.095,0.10099999999999999,2.423,0.076,-0.073,0.022000000000000002,1.167,0.084,-0.077,0.023,3.736,0.008,-0.008,0.002,0.08183,0.002543,-0.002494,0.0007097000000000001,5.46,1.351,-1.023,0.42200000000000004
2450729,6029.0,59.0,-0.212,0.1,1.758,0.059000000000000004,-0.055999999999999994,0.023,1.112,0.051,-0.051,0.03,3.9939999999999998,0.02,-0.021,0.006,0.2043,0.01594,-0.014980000000000002,0.002889,6.034,0.804,-0.718,0.55
2837475,6688.0,57.0,-0.015,0.1,1.71,0.022000000000000002,-0.043,0.039,1.665,0.054000000000000006,-0.133,0.091,4.1930000000000005,0.008,-0.011000000000000001,0.006,0.3319,0.0025629999999999997,-0.0028350000000000003,0.006215999999999999,1.131,0.19699999999999998,-0.18100000000000002,0.221
2849125,6158.0,56.0,0.293,0.10099999999999999,2.5340000000000003,0.115,-0.08900000000000001,0.027999999999999997,1.534,0.193,-0.071,0.038,3.82,0.015,-0.015,0.002,0.09451,0.005343,-0.005109000000000001,0.001265,2.583,0.29100000000000004,-0.8009999999999999,0.107
2852862,6417.0,58.0,-0.155,0.1,2.0869999999999997,0.019,-0.021,0.026000000000000002,1.4580000000000002,0.032,-0.028999999999999998,0.052000000000000005,3.9619999999999997,0.005,-0.006999999999999999,0.004,0.1604,0.001431,-0.001359,0.0009176999999999999,2.261,0.262,-0.156,0.302
2991448,5836.0,70.0,-0.085,0.1,1.757,0.033,-0.034,0.024,1.113,0.047,-0.05,0.024,3.9939999999999998,0.006999999999999999,-0.006999999999999999,0.003,0.2051,0.004602,-0.004536999999999999,0.002813,6.882000000000001,0.8959999999999999,-0.813,0.456
2998253,6333.0,54.0,0.057,0.1,1.425,0.062,-0.055999999999999994,0.017,1.262,0.040999999999999995,-0.045,0.043,4.23,0.028999999999999998,-0.03,0.005,0.4347,0.04684,-0.03082,0.002311,2.6239999999999997,0.451,-0.425,0.597
3112152,6282.0,59.0,-0.136,0.1,1.7409999999999999,0.047,-0.046,0.031,1.251,0.084,-0.066,0.051,4.052,0.013999999999999999,-0.016,0.004,0.2361,0.01084,-0.01108,0.00228,3.778,0.715,-0.914,0.8590000000000001
3112889,6433.0,65.0,-0.358,0.102,1.986,0.052000000000000005,-0.05,0.031,1.235,0.04,-0.047,0.042,3.932,0.017,-0.017,0.004,0.1568,0.009464,-0.009384,0.0021920000000000004,3.635,0.409,-0.306,0.366
3115178,5046.0,85.0,0.08,0.1,3.0,0.158,-0.145,0.028999999999999998,1.165,0.138,-0.12,0.028999999999999998,3.549,0.009000000000000001,-0.009000000000000001,0.002,0.04308,0.002001,-0.001964,0.0004935,6.184,3.085,-2.121,0.527
3223000,6198.0,47.0,-0.185,0.1,1.1640000000000001,0.021,-0.021,0.012,1.069,0.048,-0.046,0.04,4.335,0.011000000000000001,-0.011000000000000001,0.006,0.6786,0.02015,-0.020919999999999998,0.0045579999999999996,3.8760000000000003,0.973,-0.946,1.045
3241581,5770.0,81.0,0.185,0.1,1.084,0.024,-0.024,0.017,1.062,0.05,-0.05,0.052000000000000005,4.393,0.015,-0.015,0.006999999999999999,0.8323,0.04446,-0.03341,0.005765999999999999,4.53,1.787,-1.568,2.017
3329196,5161.0,65.0,-0.313,0.10099999999999999,2.845,0.162,-0.15,0.045,1.0979999999999999,0.14400000000000002,-0.127,0.049,3.57,0.02,-0.022000000000000002,0.004,0.04759,0.003355,-0.003244,0.0003972,5.985,3.228,-2.1719999999999997,0.988
3424541,6475.0,66.0,0.27,0.1,2.658,0.012,-0.015,0.040999999999999995,1.824,0.031,-0.034,0.07,3.8489999999999998,0.006,-0.006,0.006999999999999999,0.09704,0.0009607000000000001,-0.0009394999999999999,0.001463,1.3159999999999998,0.10300000000000001,-0.095,0.22699999999999998
3427720,6023.0,51.0,-0.037000000000000005,0.1,1.117,0.013000000000000001,-0.015,0.008,1.1,0.039,-0.042,0.024,4.3839999999999995,0.006,-0.006999999999999999,0.004,0.7906,0.0016879999999999998,-0.002039,0.005817,2.972,1.085,-0.813,0.778
3429205,5116.0,62.0,-0.046,0.1,3.427,0.057999999999999996,-0.057,0.027000000000000003,1.325,0.062,-0.06,0.027999999999999997,3.49,0.006999999999999999,-0.006999999999999999,0.002,0.03291,0.0002924,-0.00029089999999999997,0.0005078,3.55,0.687,-0.585,0.287
3430893,6270.0,60.0,-0.11,0.1,1.466,0.045,-0.044000000000000004,0.018000000000000002,1.2,0.053,-0.064,0.032,4.184,0.018000000000000002,-0.018000000000000002,0.002,0.3808,0.02708,-0.0243,0.003023,3.605,0.9470000000000001,-0.5489999999999999,0.7120000000000001
3437637,5483.0,58.0,-0.255,0.102,2.01,0.069,-0.066,0.02,1.0390000000000001,0.055999999999999994,-0.055,0.025,3.847,0.016,-0.017,0.003,0.1277,0.008164,-0.008124,0.0016579999999999998,7.827000000000001,1.143,-0.97,0.489
3438633,6432.0,73.0,-0.184,0.1,1.965,0.061,-0.048,0.03,1.28,0.069,-0.042,0.040999999999999995,3.9589999999999996,0.013999999999999999,-0.013999999999999999,0.002,0.1686,0.008495,-0.008357999999999999,0.002802,3.427,0.337,-0.45,0.316
3545753,6206.0,58.0,-0.33799999999999997,0.105,2.296,0.053,-0.052000000000000005,0.023,1.258,0.042,-0.048,0.039,3.8139999999999996,0.013999999999999999,-0.015,0.005,0.1036,0.00535,-0.005166,0.00123,3.636,0.353,-0.27899999999999997,0.25
3630240,5256.0,71.0,-0.613,0.10300000000000001,4.101,0.174,-0.168,0.055,1.3090000000000002,0.136,-0.125,0.042,3.3280000000000003,0.011000000000000001,-0.011000000000000001,0.003,0.01895,0.0006487999999999999,-0.0006334,0.0004494,2.8289999999999997,1.218,-0.851,0.358
3632418,6188.0,66.0,0.15,0.1,,,,,,,,,,,,,,,,,,,,
3633847,6122.0,51.0,0.12,0.1,1.858,0.052000000000000005,-0.040999999999999995,0.026000000000000002,1.285,0.134,-0.053,0.048,4.013,0.016,-0.013000000000000001,0.009000000000000001,0.2025,0.006592,-0.006465,0.002577,4.1819999999999995,0.46399999999999997,-1.2930000000000001,0.742
3633889,6452.0,49.0,-0.12,0.1,1.3219999999999998,0.03,-0.03,0.019,1.208,0.045,-0.048,0.036000000000000004,4.276,0.012,-0.012,0.001,0.5205,0.02192,-0.023969999999999998,0.007176999999999999,2.285,0.5489999999999999,-0.46399999999999997,0.446
3642422,5325.0,98.0,-0.019,0.1,3.21,0.08199999999999999,-0.10400000000000001,0.038,1.5659999999999998,0.086,-0.13,0.062,3.617,0.01,-0.012,0.006999999999999999,0.04718,0.001324,-0.001377,0.0004835,2.049,0.77,-0.273,0.27
3643774,6029.0,104.0,0.158,0.1,1.588,0.017,-0.02,0.016,1.275,0.040999999999999995,-0.048,0.039,4.141,0.006999999999999999,-0.006999999999999999,0.005,0.3183,0.002908,-0.0029879999999999998,0.0036810000000000002,3.858,0.725,-0.5429999999999999,0.633
