KIC,numax,enumax,Dnu,eDnu,Length,HBR
1435467,1382.3110000000001,19.038,70.558,0.087,938.1,1.662
2010607,674.919,146.523,42.479,2.185,28.9,1.547
2309595,643.2080000000001,11.225999999999999,39.029,0.721,28.9,1.767
2450729,1053.105,114.904,61.91,2.539,28.9,1.47
2837475,1629.761,18.396,75.72,0.129,1029.4,1.767
2849125,722.576,27.254,41.321999999999996,1.97,24.9,1.624
2852862,983.5219999999999,16.419,53.556000000000004,0.149,523.7,1.411
2991448,1111.248,18.148,61.732,0.899,92.6,1.609
2998253,1884.7379999999998,226.07,87.227,5.653,31.0,1.0490000000000002
3112152,1221.493,54.117,65.13,2.122,26.1,1.2309999999999999
3112889,871.525,65.675,53.708999999999996,1.865,31.0,1.4509999999999998
3115178,428.866,7.731,28.414,0.728,29.4,3.3080000000000003
3223000,2573.222,563.234,110.919,1.662,32.4,1.102
3241581,2807.592,395.565,123.412,2.821,30.0,1.105
3329196,435.093,31.154,29.604,1.193,31.1,7.56
3424541,769.6260000000001,10.207,41.291000000000004,0.122,931.0,1.702
3427720,2726.381,56.766999999999996,120.045,0.12,963.8,1.125
3429205,371.041,4.5360000000000005,24.296,0.098,683.0,3.97
3430893,1700.0539999999999,88.249,80.813,3.9330000000000003,28.4,1.247
3437637,834.6210000000001,45.394,48.083999999999996,1.996,24.9,1.496
3438633,964.992,37.231,55.725,2.2230000000000003,24.9,1.614
3545753,749.341,66.324,43.288000000000004,1.165,30.0,1.7169999999999999
3630240,253.37900000000002,6.169,18.327,0.31,28.5,3.109
3632418,690.176,32.749,39.275999999999996,0.309,1018.8,2.398
3633847,1139.085,88.447,61.148999999999994,1.012,29.9,1.639
3633889,2010.37,59.724,97.458,4.474,29.4,1.281
3642422,494.14599999999996,49.091,29.441999999999997,0.402,31.0,1.528
3643774,1566.5770000000002,52.518,76.417,0.314,87.1,1.46
3656476,1932.4,23.744,93.305,0.079,783.3,1.371
3657002,1600.226,94.805,80.096,1.018,28.3,1.474
3661135,1005.6089999999999,30.574,54.965,1.588,26.1,1.554
3730801,1493.04,53.707,74.547,1.962,28.9,1.182
3733735,2105.007,33.992,92.149,0.165,537.5,1.68
3735871,2815.5679999999998,67.491,122.85600000000001,0.47200000000000003,1030.5,1.107
3761840,646.538,44.293,34.671,1.0270000000000001,28.7,1.466
3854781,1181.003,33.708,62.016000000000005,0.958,25.9,1.392
3942719,786.2689999999999,20.328,45.463,1.208,28.5,1.585
3952307,853.018,56.238,51.339,1.1059999999999999,24.9,1.82
3952580,627.898,18.374000000000002,36.477,0.435,30.0,1.8659999999999999
3967859,1580.469,203.83,93.78200000000001,2.2159999999999997,31.0,1.1340000000000001
4038445,492.80400000000003,8.318999999999999,31.435,0.467,29.4,1.889
4049576,953.579,125.509,53.265,3.312,28.5,1.357
4064447,287.334,21.58,19.174,0.884,28.9,2.7880000000000003
4072740,261.38,3.409,18.352,0.055,337.1,5.86
4165030,1096.0810000000001,37.335,61.846000000000004,1.494,28.6,1.318
4243623,493.54900000000004,10.974,31.938000000000002,1.2009999999999998,25.9,3.8310000000000004
4247542,1204.068,162.72799999999998,72.194,2.345,28.5,1.196
4346201,956.143,42.803000000000004,55.318999999999996,0.434,87.9,1.9680000000000002
4347652,259.952,30.482,17.352,1.004,28.9,3.1180000000000003
4351319,385.509,5.005,24.493000000000002,0.125,781.2,4.825
4378838,395.49800000000005,10.83,24.146,0.767,31.0,2.375
4446300,844.081,29.487,50.025,0.469,24.9,1.973
4450844,1358.9,20.58,72.653,0.198,189.4,1.3730000000000002
4457351,1088.104,40.068000000000005,61.016000000000005,2.546,29.4,1.376
4465324,1736.016,67.967,86.274,1.4569999999999999,31.0,1.219
4465529,1389.69,67.234,72.66,1.054,56.3,1.3019999999999998
4543171,1484.42,70.71300000000001,71.217,1.973,25.7,1.4240000000000002
4571351,1293.0410000000002,149.289,79.194,4.312,29.6,1.171
