KIC,gaia_source_id,nearest_neighbour,APOGEE_ID,TELESCOPE,FIELD,J,J_ERR,H,H_ERR,K,K_ERR,RA,DEC,GLON,GLAT,APOGEE_TARGET1,APOGEE_TARGET2,APOGEE_TARGET3,APOGEE2_TARGET1,APOGEE2_TARGET2,APOGEE2_TARGET3,TARGFLAGS,SURVEY,PROGRAMNAME,NVISITS,COMBTYPE,COMMISS,SNR,STARFLAG,STARFLAGS,ANDFLAG,ANDFLAGS,VHELIO_AVG,VSCATTER,VERR,VERR_MED,OBSVHELIO_AVG,OBSVSCATTER,OBSVERR,OBSVERR_MED,SYNTHVHELIO_AVG,SYNTHVSCATTER,SYNTHVERR,SYNTHVERR_MED,RV_TEFF,RV_LOGG,RV_FEH,RV_ALPHA,RV_CARB,RV_CCFWHM,RV_AUTOFWHM,SYNTHSCATTER,MEANFIB,SIGFIB,SNREV,APSTAR_VERSION,ASPCAP_VERSION,RESULTS_VERSION,EXTRATARG,MIN_H,MAX_H,MIN_JK,MAX_JK,TEFF,TEFF_ERR,LOGG,LOGG_ERR,VMICRO,VMACRO,VSINI,M_H,M_H_ERR,ALPHA_M,ALPHA_M_ERR,ASPCAP_CHI2,ASPCAP_CLASS,ASPCAPFLAG,ASPCAPFLAGS,C_FE,CI_FE,N_FE,O_FE,NA_FE,MG_FE,AL_FE,SI_FE,P_FE,S_FE,K_FE,CA_FE,TI_FE,TIII_FE,V_FE,CR_FE,MN_FE,FE_H,CO_FE,NI_FE,CU_FE,GE_FE,RB_FE,CE_FE,ND_FE,YB_FE,C_FE_ERR,CI_FE_ERR,N_FE_ERR,O_FE_ERR,NA_FE_ERR,MG_FE_ERR,AL_FE_ERR,SI_FE_ERR,P_FE_ERR,S_FE_ERR,K_FE_ERR,CA_FE_ERR,TI_FE_ERR,TIII_FE_ERR,V_FE_ERR,CR_FE_ERR,MN_FE_ERR,FE_H_ERR,CO_FE_ERR,NI_FE_ERR,CU_FE_ERR,GE_FE_ERR,RB_FE_ERR,CE_FE_ERR,ND_FE_ERR,YB_FE_ERR,C_FE_FLAG,CI_FE_FLAG,N_FE_FLAG,O_FE_FLAG,NA_FE_FLAG,MG_FE_FLAG,AL_FE_FLAG,SI_FE_FLAG,P_FE_FLAG,S_FE_FLAG,K_FE_FLAG,CA_FE_FLAG,TI_FE_FLAG,TIII_FE_FLAG,V_FE_FLAG,CR_FE_FLAG,MN_FE_FLAG,FE_H_FLAG,CO_FE_FLAG,NI_FE_FLAG,CU_FE_FLAG,GE_FE_FLAG,RB_FE_FLAG,CE_FE_FLAG,ND_FE_FLAG,YB_FE_FLAG,ALT_ID,SRC_H,WASH_M,WASH_M_ERR,WASH_T2,WASH_T2_ERR,DDO51,DDO51_ERR,IRAC_3_6,IRAC_3_6_ERR,IRAC_4_5,IRAC_4_5_ERR,IRAC_5_8,IRAC_5_8_ERR,IRAC_8_0,IRAC_8_0_ERR,WISE_4_5,WISE_4_5_ERR,TARG_4_5,TARG_4_5_ERR,AK_TARG,AK_TARG_METHOD,AK_WISE,SFD_EBV,WASH_DDO51_GIANT_FLAG,WASH_DDO51_STAR_FLAG,GAIA_SOURCE_ID,GAIA_PARALLAX,GAIA_PARALLAX_ERROR,GAIA_PMRA,GAIA_PMRA_ERROR,GAIA_PMDEC,GAIA_PMDEC_ERROR,GAIA_PHOT_G_MEAN_MAG,GAIA_PHOT_BP_MEAN_MAG,GAIA_PHOT_RP_MEAN_MAG,GAIA_RADIAL_VELOCITY,GAIA_RADIAL_VELOCITY_ERROR,GAIA_R_EST,GAIA_R_LO,GAIA_R_HI,TEFF_SPEC,LOGG_SPEC
1435467,2051714265379610624,1,2M19281984+3703353,apo25m,K21_071+10,7.983,0.024,7.753,0.023,7.718,0.017,292.08269,37.059811,69.9831425926,9.26298311265,-2013265920,0,0,0,0,0,APOGEE_KEPLER_SEISMO,apogee,apogee,2,1,0,718.626,0,,0,,-56.2705,0.212188,0.00609753,0.00896881,-56.3212,0.293952,0.00666549,0.00981372,-56.2705,0.212188,0.00609753,0.00896881,5500.0,4.0,-0.5,0.0,0.0,25.6838,19.0727,0.0817635,130.0,0.0,771.73944,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,6118.3105,131.38737,4.097977,0.07899345,1.0669572,1.0,11.773348,0.0059511,0.01178257,0.018913,0.009658795,1.7459025,Fd_c,0,,-0.085703656,-0.059413098,0.189286,-9999.99,-9999.99,0.0021536988,0.009951351,-0.00010780012,-9999.99,0.16369921,0.059122097,-0.0373427,-9999.99,-9999.99,-9999.99,-9999.99,-0.024862908,0.0060579,0.27812713,-0.015814349,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.02385073,0.022145255,0.080071844,-999.99,-999.99,0.014759104,0.025306877,0.013654614,-999.99,0.044625178,0.045345023,0.022059914,-999.99,-999.99,-999.99,-999.99,0.024324374,0.0126212,0.15682483,0.021722857,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,0,512,512,0,0,0,512,0,0,0,512,512,512,512,0,0,0,0,512,2,2,512,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,7.688,0.02,7.688,0.02,0.013769614,RJCE_WISE,0.013769614,0.15774588,-1,1,2051714265379610624,7.287584408721481,0.03017258342924623,-10.584794872522545,0.04830028101741321,9.76150077040077,0.05412520351325335,8.779618,9.048191,8.394376,-66.20312534386267,1.5013994488878213,136.680252157471,136.114653664053,137.250486455932,6231.0,4.2798
2010607,2051083248784888576,1,2M19220135+3727324,apo25m,K21_071+10,10.427,0.02,10.204,0.021,10.155,0.019,290.505646,37.459015,69.7736537998,10.563824483,0,0,0,0,0,-2147483647,"APOGEE2_KOI,APOGEE2_","apogee2,apogee2-manga",kep_koi,20,1,0,629.187,2048,PERSIST_LOW,0,,24.9872,8.96255,0.00503357,0.0226996,24.98,8.98955,0.0062198,0.027848,24.9872,8.96255,0.00503357,0.0226996,6000.0,4.0,0.0,0.0,0.0,21.0803,17.9628,0.13679,61.474,44.1031,587.82776,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,6280.508,137.65195,3.9586213,0.075242914,2.0146983,1.0,5.403809,0.082442,0.01276539,0.033799,0.010183334,0.89142126,Fd_c,0,,0.072853155,0.055179708,0.3276718,-9999.99,-9999.99,0.024228506,0.07779726,0.090741,-9999.99,0.013492003,0.010829993,-0.0201367,-9999.99,-9999.99,-9999.99,-9999.99,0.035153992,0.076533,0.28237203,0.025807545,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.024087504,0.02147355,0.08879414,-999.99,-999.99,0.01598198,0.02810028,0.014725305,-999.99,0.04396923,0.050208848,0.024908822,-999.99,-999.99,-999.99,-999.99,0.025656004,0.013941207,0.15582544,0.023958538,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,0,512,512,0,0,0,512,0,0,0,512,512,512,512,0,0,0,0,512,2,2,512,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,10.145,0.02,10.145,0.02,0.008262013,RJCE_WISE,0.008262013,0.15187265,-1,1,2051083248784888576,1.5785922761495108,0.026386132806215327,-6.407060118896297,0.04579728398530962,-17.879153247836413,0.05209792855623073,11.3253765,11.604352,10.907462,26.484420644608385,3.9645735726204467,622.302888383583,612.171217636941,632.769344217151,6418.2,4.2071
2309595,2051847684243759104,1,2M19313636+3737281,apo25m,K21_071+10,10.04,0.022,9.604,0.02,9.5,0.018,292.901507,37.624481,70.7936887166,8.94348246283,-2013265920,0,0,0,0,0,APOGEE_KEPLER_SEISMO,apogee,apogee,2,0,0,159.842,1536,"PERSIST_HIGH,PERSIST_MED",0,,-8.37533,0.0108274,0.0077305,0.0113495,-8.37533,0.0108274,0.0077305,0.0113495,-8.42086,0.110851,0.00785272,0.0115277,5250.0,4.0,0.0,0.0,0.0,20.8761,19.0604,0.121678,75.9795,3.53553,270.17114,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,5085.7593,93.46042,3.7512567,0.06651777,1.0557692,3.0508387,-9999.99,-0.05315955,0.0073734983,0.013554998,0.007543617,2.329861,GKg_c,0,,-0.048775002,-0.057555005,0.006111596,-9999.99,0.09790005,0.057407692,0.009880491,-0.010775007,0.11805899,0.0027629957,0.049172997,0.038905296,-0.0029273033,-0.099250995,-9999.99,-0.105990015,0.010945991,-0.054663546,-0.09718601,0.060682096,-0.17210051,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.013560549,0.019897684,0.021015065,-999.99,0.041976683,0.010975265,0.019233925,0.0108373845,0.06933294,0.029387828,0.029848967,0.0125630945,0.01996215,0.061266538,-999.99,0.03349703,0.015324846,0.008194202,0.04264306,0.012994541,0.035836246,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,0,512,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,2,2,512,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,9.512,0.02,9.512,0.02,0.038556006,RJCE_WISE,0.038556006,0.18320453,-1,1,2051847684243759104,2.547899676366185,0.027855535546288744,-5.670181399050339,0.04289287984243023,5.790695273584303,0.053044230778849934,11.400895,11.876257,10.790239,-8.975526957293283,0.23241050389742224,388.144042888786,383.960360473677,392.418237747421,5060.1,3.7762
2450729,2051667914096024448,1,2M19321765+3742592,apo25m,K21_071+10,9.585,0.02,9.333,0.019,9.283,0.018,293.073563,37.716461,70.9399585258,8.86521693804,-2013265920,0,0,0,0,0,APOGEE_KEPLER_SEISMO,apogee,apogee,2,0,0,160.948,512,PERSIST_HIGH,512,PERSIST_HIGH,-104.938,0.0289215,0.0152995,0.0219361,-104.931,0.153822,0.012817,0.0185282,-104.867,0.110545,0.0121509,0.0175642,5500.0,4.0,-0.5,0.0,0.0,21.3746,19.071,0.0432771,74.0,0.0,290.91727,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,5876.749,123.730484,4.0854836,0.08737709,1.8202456,1.0,5.050333,-0.198999,0.011503394,-0.0128835,0.010090442,1.8018972,GKd_c,0,,0.10514416,0.0850007,0.059661806,-9999.99,-9999.99,0.061787516,0.06177126,-0.0064009875,-9999.99,0.07125601,0.12195501,-0.011017993,-0.07990649,0.11823001,-9999.99,-0.032976985,-0.019235998,-0.19894901,-0.078926,-0.015760437,-0.5227145,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.025300046,0.024605691,0.051451806,-999.99,-999.99,0.014069657,0.022580238,0.013068249,-999.99,0.048702955,0.04146179,0.019861009,0.06802842,0.10453221,-999.99,0.07148267,0.025100922,0.011860251,0.16518663,0.020748192,0.08775449,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,0,512,512,0,0,0,512,0,0,0,0,0,512,0,0,0,0,0,0,2,2,512,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,9.274,0.02,9.274,0.02,0.008262013,RJCE_WISE,0.008262013,0.18521923,-1,1,2051667914096024448,3.6360564447926915,0.02928642455797369,12.934760459237909,0.04221328638981442,27.41100296867697,0.04479028105710502,10.625102,10.949538,10.163091,-9999.0,-9999.0,272.879314768136,270.69932211854,275.094068184396,5947.8,4.1299
2837475,2099526837747055232,1,2M19101163+3804559,apo25m,K18_070+14,7.649,0.021,7.481,0.016,7.464,0.027,287.548468,38.082199,69.3271247112,12.943078847,-2013134848,0,0,0,0,0,"APOGEE_ANCILLARY,APOGEE_KEPLER_SEISMO",apogee,apogee,3,0,0,471.589,132608,"PERSIST_HIGH,PERSIST_MED,SUSPECT_BROAD_LINES",0,,-11.4947,0.249419,0.0153212,0.0251879,-11.4947,0.249419,0.0153212,0.0251879,-11.626,0.273795,0.0137792,0.0225072,6500.0,4.0,-0.5,0.0,0.0,37.6838,17.0711,0.0692858,79.2469,13.8564,752.23474,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,6427.9272,145.82477,4.063885,0.07543549,1.8271744,1.0,21.74703,0.00218411,0.0154638905,0.037906997,0.012822424,1.4634908,Fd_c,0,,0.11286886,0.10728641,-9999.99,-9999.99,-9999.99,0.0985322,-0.05478795,0.02906701,-9999.99,0.048170708,-9999.99,-0.053808287,-9999.99,-9999.99,-9999.99,-9999.99,-0.0242944,0.0071094,-9999.99,-0.06251384,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.027846565,0.022998244,-999.99,-999.99,-999.99,0.018702343,0.0320954,0.017179191,-999.99,0.047550473,-999.99,0.030454896,-999.99,-999.99,-999.99,-999.99,0.03114669,0.016856696,-999.99,0.029417362,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,16640,512,512,0,0,0,512,0,512,0,512,512,512,512,0,0,512,0,512,2,2,512,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,7.451,0.02,7.451,0.02,-0.018360246,RJCE_WISE,-0.018360246,0.18020593,-1,1,2099526837747055232,8.247790541507515,0.02896614177700503,15.452962168719518,0.05047614008872828,-9.41774080663825,0.05233459598171565,8.398082,8.63002,8.05498,-13.817216208883723,0.40488168966186144,120.822548258215,120.397991151534,121.250056578029,6581.1,4.3102
2849125,2052614421804974464,1,2M19225536+3805084,apo25m,K21_071+10,10.327,0.021,10.088,0.02,10.037,0.018,290.730668,38.085678,70.4256230236,10.6809701846,-2013265920,0,0,0,0,0,APOGEE_KEPLER_SEISMO,apogee,apogee,2,0,0,114.703,512,PERSIST_HIGH,512,PERSIST_HIGH,-24.0576,0.021536,0.0117067,0.0170281,-24.0576,0.021536,0.0117067,0.0170281,-24.1231,0.0663236,0.0113075,0.0164877,5250.0,3.0,0.0,0.0,0.0,20.0918,16.7941,0.0878597,9.01587,8.48528,120.57016,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,6049.339,148.20793,3.8117993,0.07170686,1.9783357,1.0,4.5141916,0.291911,0.012119558,0.0010360004,0.008065763,2.3311489,Fd_d,0,,0.020210117,0.040104687,0.1698528,-9999.99,-9999.99,-0.018867522,0.15623924,0.020698965,-9999.99,0.03053698,0.08593497,-0.0075430274,-9999.99,-9999.99,-9999.99,-0.215127,0.094683975,0.28420103,0.21134397,0.040839553,-0.4732545,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.02403957,0.02405494,0.062094282,-999.99,-999.99,0.016433792,0.03748549,0.015459717,-999.99,0.049648073,0.052841708,0.026115276,-999.99,-999.99,-999.99,0.08059229,0.024465468,0.013540287,0.17419244,0.023699315,0.101370096,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,0,512,512,0,0,0,512,0,0,0,512,512,512,0,0,0,0,0,0,2,2,257,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,10.063,0.02,10.063,0.02,-0.022949476,RJCE_WISE,-0.022949476,0.14157455,-1,1,2052614421804974464,1.6348882360613963,0.025075703269819564,-1.230187769676941,0.04132353085820041,-1.5467242965945354,0.04896452325065966,11.294678,11.609849,10.850272,-24.29197050359017,0.539775423359484,601.211010764336,592.212510439757,610.482132837008,6166.8,4.0987
2852862,2052579374867447936,1,2M19260620+3802366,apo25m,K21_071+10,9.772,0.021,9.54,0.016,9.511,0.018,291.525853,38.043507,70.6706168377,10.1016074941,-2013265920,0,0,0,0,0,APOGEE_KEPLER_SEISMO,apogee,apogee,2,0,0,150.224,512,PERSIST_HIGH,512,PERSIST_HIGH,-24.5832,0.0124229,0.0189135,0.0286265,-24.5832,0.0124229,0.0189135,0.0286265,-24.5943,0.0366941,0.0177712,0.0268652,6500.0,4.0,0.0,0.0,0.0,23.8001,17.189,0.0242712,51.6048,8.48528,228.59938,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,6176.756,135.221,3.9691405,0.08050706,1.8040975,1.0,10.987528,-0.083409004,0.013146168,0.025785001,0.011281033,1.6106086,Fd_c,0,,0.012064047,0.018393695,-0.2002402,-9999.99,-9999.99,0.060111497,0.02087225,0.027508996,-9999.99,0.012086995,0.07259199,0.023251995,-9999.99,-9999.99,-9999.99,-9999.99,-0.050099015,-0.084986,0.18707198,0.002563551,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.02674456,0.023606341,0.073689215,-999.99,-999.99,0.016064536,0.026795281,0.014868678,-999.99,0.047441278,0.050058458,0.024465013,-999.99,-999.99,-999.99,-999.99,0.02745059,0.013948468,0.1663373,0.024259994,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,0,512,512,0,0,0,512,0,0,0,512,512,512,512,0,0,0,0,512,2,2,512,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,9.485,0.02,9.485,0.02,0.0045902794,RJCE_WISE,0.0045902794,0.13398716,-1,1,2052579374867447936,2.572352362643414,0.02353713730347501,-17.763017154198202,0.03960109700878784,-15.529283749339768,0.04282989847674283,10.638001,10.914242,10.230838,-25.588529201911996,0.7498998355439314,384.469927034629,380.99554748226,388.007105372609,6292.8,4.126
2991448,2052659879738450048,1,2M19271797+3806475,apo25m,K21_071+10,9.602,0.026,9.267,0.032,9.225,0.021,291.824891,38.113197,70.8413614034,9.92273842619,-2013265920,0,0,0,0,0,APOGEE_KEPLER_SEISMO,apogee,apogee,2,1,0,383.479,0,,0,,9.33331,0.0644678,0.00875366,0.0129098,9.33809,0.110346,0.00824161,0.0121828,9.33331,0.0644678,0.00875366,0.0129098,6000.0,5.0,0.0,0.0,0.0,23.1395,21.7599,0.045878,200.744,8.48528,405.31226,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,5578.77,110.72967,4.1013865,0.08841514,1.0223224,1.0,5.382326,-0.091143005,0.009065969,0.023756,0.007139882,1.773291,GKd_b,0,,0.016931742,0.049128696,0.12646881,-9999.99,-9999.99,0.040320493,0.18869925,0.0082509965,-9999.99,0.071582,0.12708598,0.06628199,0.1244455,0.16674599,-9999.99,0.09898,0.019353986,-0.103349,-0.26634604,0.028065547,0.1486645,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.019022714,0.022263898,0.04301906,-999.99,-999.99,0.011536034,0.019099558,0.010655771,-999.99,0.04493267,0.03117446,0.015049441,0.04948216,0.08987398,-999.99,0.054902658,0.019826245,0.009422429,0.14488636,0.016365828,0.07180837,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,0,512,512,0,0,0,512,0,0,0,0,0,512,0,0,0,0,0,0,2,2,512,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,9.198,0.02,9.198,0.02,0.017442223,RJCE_WISE,0.017442223,0.15646473,-1,1,2052659879738450048,3.5372019531703636,0.029688377756963986,-42.806316292748555,0.04299883339457689,-17.330808539283936,0.05260138549065804,10.712395,11.080686,10.206729,6.759640419326599,1.0703689950959356,280.445568781783,278.112168085942,282.817745877096,5615.9,4.1274
2998253,2052236773922878336,1,2M19330994+3806262,apo25m,K21_071+10,9.655,0.02,9.435,0.02,9.396,0.018,293.291441,38.107304,71.3711311602,8.89395971621,-2013265920,0,0,0,0,0,APOGEE_KEPLER_SEISMO,apogee,apogee,2,1,0,251.157,0,,0,,-31.4165,0.00704695,0.0166305,0.0242053,-31.5044,0.00829315,0.0182695,0.0265757,-31.4165,0.00704695,0.0166305,0.0242053,5500.0,4.0,-0.5,0.0,0.0,24.6646,19.0711,0.0012462,165.25,2.12132,267.19254,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,6215.9336,134.82883,4.27665,0.076206565,1.0993652,1.0,10.055416,0.073254995,0.012156838,0.010623001,0.009715996,1.8226782,Fd_b,0,,0.004094146,0.0058454946,0.029787794,-9999.99,-9999.99,-0.011898506,0.0135822445,0.036799997,-9999.99,-0.0063790046,0.11214599,-0.009193003,-9999.99,-9999.99,-9999.99,-9999.99,0.0018099919,0.068728,-0.14201301,0.046722554,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.023534551,0.021442363,0.08022032,-999.99,-999.99,0.015297278,0.026807519,0.014116267,-999.99,0.04365562,0.047624595,0.02342826,-999.99,-999.99,-999.99,-999.99,0.024602378,0.013211057,0.15455005,0.02266328,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,0,512,512,0,0,0,512,0,0,0,768,512,512,512,0,0,0,0,512,2,2,512,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,9.39,0.02,9.39,0.02,-0.0045899306,RJCE_WISE,-0.0045899306,0.18038155,-1,1,2052236773922878336,3.9137746778668365,0.02447985393346845,4.461753224657773,0.04118505019736415,-11.168286487091287,0.046757324440057695,10.527767,10.805783,10.122792,-32.360428344295485,0.7696743042922339,253.646682647798,252.069554944348,255.243314018996,6344.7,4.5075
3112152,2052817449196899968,1,2M19212230+3817128,apo25m,K21_071+10,10.766,0.019,10.503,0.022,10.442,0.018,290.342948,38.286911,70.4731771513,11.0431658996,-2013265920,0,0,0,0,0,APOGEE_KEPLER_SEISMO,apogee,apogee,2,0,0,201.271,0,,0,,-11.6169,0.0154858,0.0192922,0.0287775,-11.6169,0.0154858,0.0192922,0.0287775,-11.6774,0.0791484,0.0191831,0.0285863,6000.0,4.0,0.0,0.0,0.0,22.2297,17.9621,0.0946342,216.177,2.12132,209.8411,stars,l33,r12-l33,1,-9999.99,9999.99,-9999.99,9999.99,5995.7,126.27594,4.0700817,0.08084301,1.3577505,1.0,6.980877,-0.0082290005,0.01086914,0.026568001,0.008864808,2.103391,Fd_b,0,,0.040832147,0.015972698,0.0409318,-9999.99,-9999.99,0.0435583,0.10494624,0.055499993,-9999.99,-0.0608887,0.015571993,0.007160999,-9999.99,-9999.99,-9999.99,-0.24124002,-0.041609004,-0.008296,-1.2157791,0.040971547,-0.33175746,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0.022624852,0.02204867,0.05706575,-999.99,-999.99,0.013722575,0.023403572,0.012711857,-999.99,0.044204216,0.041194245,0.019858992,-999.99,-999.99,-999.99,0.06619975,0.022712348,0.0115567185,0.15378025,0.019864893,0.08342873,-999.99,-999.99,-999.99,-999.99,-999.99,0,0,0,512,512,0,0,0,512,0,0,0,512,512,512,0,0,0,0,0,0,2,2,512,2,2,none,2MASS,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,10.409,0.021,10.409,0.021,0.040391874,RJCE_WISE,0.040391874,0.16933312,-1,1,2052817449196899968,2.0784755349154276,0.02351465463724827,9.752345916012617,0.04236883372120375,2.1697416662870266,0.04376004994270535,11.662104,11.963507,11.216294,-11.202217384071172,0.549184815693601,474.596304702619,469.31800348789,479.992512646251,6091.6,4.2198
